"BIN","Core_Frequency","Reared_Frequency"
"BOLD:AAE6454",16,11
"BOLD:AAJ6893",1,NA
"BOLD:AAT9451",35,26
"BOLD:AAV3008",9,NA
"BOLD:AAV3037",1,NA
"BOLD:AAV4210",1,NA
"BOLD:AAW1643",2,4
"BOLD:AAZ6457",6,36
"BOLD:ABA9277",1,68
"BOLD:ACB1289",2,2
"BOLD:ACB3674",8,42
"BOLD:ACC1822",4,17
"BOLD:ACC2880",1,20
"BOLD:ACD1846",2,2
"BOLD:ACG5511",2,NA
"BOLD:ACJ2804",1,11
"BOLD:ACJ5020",1,19
"BOLD:ACM2491",1,64
"BOLD:ACP6342",2,1
"BOLD:ACY1996",10,NA
"BOLD:ACY2253",1,NA
"BOLD:ADA3837",1,4
"BOLD:ADA9104",65,2
"BOLD:ADB1901",4,NA
"BOLD:ADC6602",3,NA
"BOLD:ADD0043",2,1
"BOLD:ADD0100",1,5
"BOLD:ADD0170",2,9
"BOLD:ADD0188",1,1
"BOLD:ADD0305",2,2
"BOLD:AEK1291",1,1
"BOLD:AFK8110",1,2
"BOLD:AAB1486",NA,1
"BOLD:AAG7943",NA,17
"BOLD:AAJ9259",NA,42
"BOLD:AAN8643",NA,4
"BOLD:AAT9514",NA,51
"BOLD:AAU4705",NA,1
"BOLD:AAV3035",NA,12
"BOLD:AAV3186",NA,15
"BOLD:AAV7758",NA,6
"BOLD:AAW1640",NA,1
"BOLD:AAW3787",NA,2
"BOLD:AAY4688",NA,2
"BOLD:ABU8129",NA,40
"BOLD:ABU8130",NA,29
"BOLD:ABW5154",NA,1
"BOLD:ABW6993",NA,2
"BOLD:ABX0816",NA,1
"BOLD:ABX5568",NA,59
"BOLD:ABX5613",NA,34
"BOLD:ABX6701",NA,7
"BOLD:ABY3703",NA,1
"BOLD:ABZ8830",NA,5
"BOLD:ACA4726",NA,12
"BOLD:ACA4727",NA,11
"BOLD:ACA4751",NA,6
"BOLD:ACA4752",NA,6
"BOLD:ACA4760",NA,11
"BOLD:ACA4771",NA,9
"BOLD:ACA4814",NA,6
"BOLD:ACA4890",NA,3
"BOLD:ACB1291",NA,2
"BOLD:ACB1292",NA,7
"BOLD:ACB1906",NA,2
"BOLD:ACB2941",NA,11
"BOLD:ACC1326",NA,5
"BOLD:ACC5208",NA,3
"BOLD:ACD1738",NA,85
"BOLD:ACD1739",NA,9
"BOLD:ACD1740",NA,6
"BOLD:ACD1741",NA,23
"BOLD:ACD1742",NA,30
"BOLD:ACD1743",NA,4
"BOLD:ACD1799",NA,14
"BOLD:ACD1800",NA,3
"BOLD:ACD1801",NA,24
"BOLD:ACD1803",NA,8
"BOLD:ACD1804",NA,51
"BOLD:ACD1847",NA,6
"BOLD:ACD1997",NA,5
"BOLD:ACD2038",NA,19
"BOLD:ACD2045",NA,9
"BOLD:ACD2639",NA,14
"BOLD:ACI8518",NA,5
"BOLD:ACJ1459",NA,4
"BOLD:ACJ2110",NA,3
"BOLD:ACJ2111",NA,2
"BOLD:ACJ2185",NA,5
"BOLD:ACJ2565",NA,23
"BOLD:ACJ2677",NA,6
"BOLD:ACJ3683",NA,6
"BOLD:ACJ5330",NA,4
"BOLD:ACJ5331",NA,8
"BOLD:ACM2584",NA,22
"BOLD:ACM2585",NA,5
"BOLD:ACN0055",NA,5
"BOLD:ACN0056",NA,50
"BOLD:ACN0769",NA,19
"BOLD:ACN0949",NA,35
"BOLD:ACN0950",NA,2
"BOLD:ACN1059",NA,25
"BOLD:ACN1127",NA,10
"BOLD:ACN9714",NA,8
"BOLD:ACR3678",NA,4
"BOLD:ACT7813",NA,1
"BOLD:ACT7814",NA,1
"BOLD:ACY8111",NA,1
"BOLD:ACZ0985",NA,1
"BOLD:ADC9254",NA,2
"BOLD:ADC9342",NA,2
"BOLD:ADC9429",NA,1
"BOLD:ADC9430",NA,3
"BOLD:ADC9450",NA,7
"BOLD:ADC9455",NA,2
"BOLD:ADC9470",NA,1
"BOLD:ADC9541",NA,1
"BOLD:ADC9606",NA,5
"BOLD:ADC9607",NA,2
"BOLD:ADC9608",NA,3
"BOLD:ADC9636",NA,2
"BOLD:ADC9637",NA,1
"BOLD:ADC9671",NA,1
"BOLD:ADC9708",NA,5
"BOLD:ADC9733",NA,1
"BOLD:ADC9850",NA,6
"BOLD:ADC9936",NA,3
"BOLD:ADC9984",NA,1
"BOLD:ADD0042",NA,1
"BOLD:ADD0088",NA,1
"BOLD:ADD0090",NA,1
"BOLD:ADD0095",NA,2
"BOLD:ADD0212",NA,2
"BOLD:ADD0265",NA,1
"BOLD:ADD0287",NA,1
"BOLD:ADD0338",NA,21
"BOLD:ADD0377",NA,9
"BOLD:ADD0384",NA,8
"BOLD:ADD0457",NA,2
"BOLD:ADD0488",NA,1
"BOLD:ADD0500",NA,1
"BOLD:ADD0519",NA,2
"BOLD:ADJ0302",NA,4
"BOLD:ADJ4431",NA,11
"BOLD:AEB4152",NA,2
"BOLD:AEF6891",NA,1
"BOLD:AEM4556",NA,3
"BOLD:AER7636",NA,1
"BOLD:AFL1867",NA,3
"BOLD:AFO7860",NA,1
