"BIN","Core_Frequency","Reared_Frequency"
"BOLD:AAQ1304",13,6
"BOLD:ABX5287",4,40
"BOLD:ABX5696",1,18
"BOLD:ACJ2522",1,4
"BOLD:ACR8756",5,NA
"BOLD:ACS0871",1,NA
"BOLD:ACY3516",3,NA
"BOLD:ADB1317",59,NA
"BOLD:AEG7652",3,NA
"BOLD:AEH3397",1,NA
"BOLD:AAA9485",NA,38
"BOLD:AAC9174",NA,8
"BOLD:AAC9175",NA,15
"BOLD:AAD1469",NA,23
"BOLD:AAD1665",NA,10
"BOLD:AAD2437",NA,8
"BOLD:AAE5137",NA,4
"BOLD:AAF0179",NA,2
"BOLD:AAF0560",NA,4
"BOLD:AAF2267",NA,4
"BOLD:AAF3041",NA,2
"BOLD:AAH9258",NA,4
"BOLD:AAJ1213",NA,5
"BOLD:AAJ7066",NA,9
"BOLD:AAK5618",NA,19
"BOLD:AAL5553",NA,3
"BOLD:AAX2488",NA,1
"BOLD:AAY2480",NA,1
"BOLD:AAY4756",NA,2
"BOLD:ABA7280",NA,4
"BOLD:ABA7285",NA,4
"BOLD:ABA9267",NA,2
"BOLD:ABA9269",NA,2
"BOLD:ABW1928",NA,4
"BOLD:ABW5857",NA,1
"BOLD:ACB1323",NA,1
"BOLD:ACJ3939",NA,1
"BOLD:ACJ4187",NA,1
"BOLD:ACJ4256",NA,1
"BOLD:ACK3077",NA,1
"BOLD:ACP6577",NA,1
"BOLD:ACR2666",NA,3
"BOLD:ACR3521",NA,8
"BOLD:ACS9595",NA,1
"BOLD:ACU6233",NA,1
"BOLD:ACU6861",NA,4
"BOLD:ADE1282",NA,1
"BOLD:AEK1045",NA,3
"BOLD:AFI7681",NA,2
"BOLD:AFI7724",NA,1
