"BIN","Core_Frequency","Reared_Frequency"
"BOLD:AAA1638",2,376
"BOLD:AAA2292",7,284
"BOLD:AAA5925",2,190
"BOLD:AAA7736",1,81
"BOLD:AAA9953",15,42
"BOLD:AAB0675",2,42
"BOLD:AAB2710",7,36
"BOLD:AAB3251",2,90
"BOLD:AAB4106",2,29
"BOLD:AAB4547",12,42
"BOLD:AAC1669",1,34
"BOLD:AAC4370",5,80
"BOLD:AAC9245",1,NA
"BOLD:AAC9277",1,56
"BOLD:AAD2432",14,32
"BOLD:AAD4574",2,21
"BOLD:AAD4982",15,19
"BOLD:AAD5279",10,12
"BOLD:AAD5588",1,40
"BOLD:AAD6202",6,11
"BOLD:AAE2516",1,5
"BOLD:AAF4393",1,5
"BOLD:AAG2990",1,4
"BOLD:AAI7854",3,5
"BOLD:AAK1479",2,7
"BOLD:AAK1483",2,5
"BOLD:AAK2350",44,5
"BOLD:AAK2996",1,10
"BOLD:AAK6369",9,8
"BOLD:AAL2345",1,13
"BOLD:AAL5548",1,4
"BOLD:AAM1181",1,6
"BOLD:AAQ0897",6,3
"BOLD:AAT9019",6,5
"BOLD:AAV4426",2,NA
"BOLD:AAW4031",4,11
"BOLD:AAW4658",1,6
"BOLD:AAW4659",4,9
"BOLD:AAW9369",1,1
"BOLD:AAX4152",3,1
"BOLD:AAY0550",1,1
"BOLD:AAY0565",1,6
"BOLD:AAY4748",2,5
"BOLD:ABA0301",291,NA
"BOLD:ABA0302",508,NA
"BOLD:ABA0304",3,NA
"BOLD:ABA0305",240,NA
"BOLD:ABA0306",15,NA
"BOLD:ABA0308",8,NA
"BOLD:ABA0309",1,2
"BOLD:ABA0310",4,NA
"BOLD:ABA0311",2,2
"BOLD:ABA6162",72,NA
"BOLD:ABV0606",1,NA
"BOLD:ABV0637",8,2
"BOLD:ABV0640",4,NA
"BOLD:ABV0658",6,NA
"BOLD:ABV0661",2,NA
"BOLD:ABV0663",2,NA
"BOLD:ABV0664",1,NA
"BOLD:ABV0675",1,2
"BOLD:ABV0680",1,NA
"BOLD:ABV0691",1,6
"BOLD:ABV0710",3,NA
"BOLD:ABV0712",2,1
"BOLD:ABV0721",16,NA
