"BIN","Core_Frequency","Reared_Frequency"
"BOLD:AAA4444",6,6
"BOLD:AAF2633",1,8
"BOLD:AAG8211",6,NA
"BOLD:AAL8247",25,NA
"BOLD:AAM1107",2,4
"BOLD:AAV3607",1,NA
"BOLD:AAW3563",1,2
"BOLD:ABV9880",1,NA
"BOLD:ABV9918",11,NA
"BOLD:ACA6835",1,NA
"BOLD:ACA7259",108,NA
"BOLD:ACE1984",49,NA
"BOLD:ACF7385",2,NA
"BOLD:ACF7386",1,NA
"BOLD:ACJ1335",1,NA
"BOLD:ACJ2167",35,NA
"BOLD:ACJ2201",3,NA
"BOLD:ACJ2270",1,NA
"BOLD:ACJ2315",3,NA
"BOLD:ACJ4087",1,NA
"BOLD:ACJ8069",2,NA
"BOLD:ACK4767",4,NA
"BOLD:ACL3198",3,NA
"BOLD:ACL3879",7,NA
"BOLD:ACL5703",27,NA
"BOLD:ACL9696",2,NA
"BOLD:ACO0288",6,NA
"BOLD:ACR6579",2,NA
"BOLD:ACR7934",1,NA
"BOLD:ACR8387",1,NA
"BOLD:ACS0581",1,NA
"BOLD:ACU3782",1,NA
"BOLD:ACW6597",1,NA
"BOLD:ACZ8757",4,NA
"BOLD:ADA0356",1,NA
"BOLD:ADA0878",1,NA
"BOLD:ADA3192",1,NA
"BOLD:ADA4144",1,NA
"BOLD:ADA5459",1,NA
"BOLD:ADA6322",130,NA
"BOLD:ADA7613",71,NA
"BOLD:ADA8853",26,NA
"BOLD:ADB0320",29,NA
"BOLD:ADB0692",1,NA
"BOLD:ADB0776",6,NA
"BOLD:ADB0889",11,NA
"BOLD:ADB2375",1,NA
"BOLD:ADB2931",56,NA
"BOLD:ADB3156",16,NA
"BOLD:ADB4135",2,NA
"BOLD:ADB4617",38,NA
"BOLD:ADB5898",6,NA
"BOLD:ADC0083",5,NA
"BOLD:ADC6444",1,NA
"BOLD:ADD4610",27,NA
"BOLD:ADD5784",2,NA
"BOLD:ADF7277",1,NA
"BOLD:ADG0772",1,NA
"BOLD:ADG7956",1,NA
"BOLD:ADW6358",1,NA
"BOLD:ADX0598",5,NA
"BOLD:ADX5955",273,NA
"BOLD:ADY2296",1,NA
"BOLD:ADY5678",1,NA
"BOLD:ADZ5761",35,NA
"BOLD:ADZ9206",1,NA
"BOLD:ADZ9809",2,NA
"BOLD:AEA2547",1,NA
"BOLD:AEA4215",6,NA
"BOLD:AEA6054",1,NA
"BOLD:AEA6762",2,NA
"BOLD:AEB2086",2,NA
"BOLD:AEB7438",6,NA
"BOLD:AEC3464",2,NA
"BOLD:AEC6599",1,NA
"BOLD:AEC9318",1,NA
"BOLD:AEC9878",3,NA
"BOLD:AED0049",1,NA
"BOLD:AED0963",1,NA
"BOLD:AED2115",1,NA
"BOLD:AED4737",1,NA
"BOLD:AED6507",1,NA
"BOLD:AEE0714",2,NA
"BOLD:AEE1756",2,NA
"BOLD:AEE2752",1,NA
"BOLD:AEE4777",1,NA
"BOLD:AEE6274",42,NA
"BOLD:AEE9855",1,NA
"BOLD:AEF2307",1,NA
"BOLD:AEF2954",3,NA
"BOLD:AEF3931",2,NA
"BOLD:AEF5917",1,NA
"BOLD:AEF6531",1,NA
"BOLD:AEF7363",1,NA
"BOLD:AEG0182",1,NA
"BOLD:AEG6871",4,NA
"BOLD:AEH0707",1,NA
"BOLD:AEH1628",1,NA
"BOLD:AEH2080",2,NA
"BOLD:AEH2239",1,NA
"BOLD:AEH2690",1,NA
"BOLD:AEL1878",1,NA
"BOLD:AEL9046",1,NA
"BOLD:AEM5521",1,NA
"BOLD:AEM5747",3,NA
"BOLD:AEM6598",1,NA
"BOLD:AEM9516",1,NA
"BOLD:AEN0996",1,NA
"BOLD:AEN7249",1,NA
"BOLD:AEO3447",9,NA
"BOLD:AFB6674",1,NA
"BOLD:AFE5561",1,NA
"BOLD:AFM0934",1,NA
"BOLD:AFM6845",1,NA
"BOLD:AFO4387",1,NA
"BOLD:AGA7086",1,NA
"BOLD:AGE7300",1,NA
"BOLD:AAA6603",NA,239
"BOLD:AAB1653",NA,60
"BOLD:AAC8260",NA,51
"BOLD:AAD1994",NA,22
"BOLD:AAD4678",NA,11
"BOLD:AAD4709",NA,8
"BOLD:AAE2698",NA,16
"BOLD:AAE2711",NA,10
"BOLD:AAE9128",NA,5
"BOLD:AAE9140",NA,14
"BOLD:AAF2610",NA,7
"BOLD:AAF2611",NA,16
"BOLD:AAF2632",NA,16
"BOLD:AAF5720",NA,1
"BOLD:AAJ0362",NA,60
"BOLD:AAJ0370",NA,5
"BOLD:AAK1016",NA,1
"BOLD:AAK1026",NA,2
"BOLD:AAK1028",NA,1
"BOLD:AAK1568",NA,1
"BOLD:AAL0574",NA,9
"BOLD:AAL5555",NA,1
"BOLD:AAM1066",NA,2
"BOLD:AAM1106",NA,1
"BOLD:AAM1444",NA,3
"BOLD:AAM1445",NA,2
"BOLD:AAM1446",NA,3
"BOLD:AAN2554",NA,8
"BOLD:AAT8838",NA,13
"BOLD:AAV8843",NA,3
"BOLD:AAW3554",NA,1
"BOLD:AAW3555",NA,2
"BOLD:AAW3556",NA,2
"BOLD:AAW3557",NA,4
"BOLD:AAW3558",NA,4
"BOLD:AAW3564",NA,5
"BOLD:AAW4588",NA,1
"BOLD:AAW4589",NA,12
"BOLD:ABA9309",NA,10
"BOLD:ABU8005",NA,2
"BOLD:ABW9828",NA,9
"BOLD:ABX5499",NA,52
"BOLD:ABX8525",NA,1
"BOLD:ABY3312",NA,1
"BOLD:ABY3313",NA,1
"BOLD:ABY5286",NA,16
"BOLD:ACB1121",NA,1
"BOLD:ACB1122",NA,1
"BOLD:ACB1177",NA,1
"BOLD:ACB1254",NA,5
"BOLD:ACB1255",NA,1
"BOLD:ACB1516",NA,19
"BOLD:ACC1221",NA,1
"BOLD:ACC1273",NA,2
"BOLD:ACF0845",NA,3
"BOLD:ACH4152",NA,1
"BOLD:ACH4221",NA,2
"BOLD:ACJ3551",NA,6
"BOLD:ACJ4048",NA,3
"BOLD:ACJ4065",NA,1
