"BIN","Core_Frequency","Reared_Frequency"
"BOLD:AAB6355",1,96
"BOLD:AAD1123",1,34
"BOLD:AAD1129",4,9
"BOLD:AAD1322",2,12
"BOLD:AAE7879",1,4
"BOLD:AAG1478",11,2
"BOLD:AAJ1768",5,NA
"BOLD:AAV4087",3,NA
"BOLD:AAX4327",1,1
"BOLD:AAX4329",1,1
"BOLD:ABX0092",1,NA
"BOLD:ACF6887",41,NA
"BOLD:ACG5035",4,NA
"BOLD:ACG5056",2,NA
"BOLD:ACJ1653",26,NA
"BOLD:ACJ4478",5,NA
"BOLD:ACJ4534",1,NA
"BOLD:ACJ4536",89,NA
"BOLD:ACJ9213",2,NA
"BOLD:ACL0390",2,NA
"BOLD:ACL4340",2,NA
"BOLD:ACL4583",5,NA
"BOLD:ACR4995",1,NA
"BOLD:ACR8271",8,NA
"BOLD:ACU7439",2,NA
"BOLD:ACV6461",4,NA
"BOLD:ACX7761",7,NA
"BOLD:ACX9953",6,NA
"BOLD:ADA0992",1,NA
"BOLD:ADA1184",1,NA
"BOLD:ADA3159",1,NA
"BOLD:ADA3550",1,NA
"BOLD:ADA6366",13,NA
"BOLD:ADA6517",9,NA
"BOLD:ADA6543",3,NA
"BOLD:ADA7240",2,NA
"BOLD:ADA8305",2,NA
"BOLD:ADA9578",14,NA
"BOLD:ADA9669",2,NA
"BOLD:ADB0575",17,NA
"BOLD:ADB2340",33,NA
"BOLD:ADB2609",1,NA
"BOLD:ADB2660",1,NA
"BOLD:ADB4456",13,NA
"BOLD:ADB5866",32,NA
"BOLD:ADB7113",4,NA
"BOLD:ADB8494",9,NA
"BOLD:ADB8699",81,NA
"BOLD:ADC7084",12,NA
"BOLD:ADC9346",1,NA
"BOLD:ADC9731",1,NA
"BOLD:ADD4193",12,NA
"BOLD:ADF3901",2,NA
"BOLD:ADF4945",1,NA
"BOLD:ADF5802",1,NA
"BOLD:ADF6417",5,NA
"BOLD:ADF6421",1,NA
"BOLD:ADH5836",1,NA
"BOLD:ADK8698",1,NA
"BOLD:ADL7703",2,NA
"BOLD:ADX3430",2,NA
"BOLD:ADX9295",9,NA
"BOLD:ADY1107",3,NA
"BOLD:ADY2538",21,NA
"BOLD:ADY3927",8,NA
"BOLD:ADY5322",2,NA
"BOLD:ADY5926",17,NA
"BOLD:ADY8557",1,NA
"BOLD:ADZ9385",2,NA
"BOLD:AEA1543",1,NA
"BOLD:AEA4604",16,NA
"BOLD:AEA5439",9,NA
"BOLD:AEA7538",1,NA
"BOLD:AEB4713",12,NA
"BOLD:AEB6224",1,NA
"BOLD:AEB8424",3,NA
"BOLD:AEB9502",2,NA
"BOLD:AEC1016",1,NA
"BOLD:AEC3875",2,NA
"BOLD:AEC4596",1,NA
"BOLD:AEC5246",1,NA
"BOLD:AEC7051",1,NA
"BOLD:AEC8051",2,NA
"BOLD:AEC8222",1,NA
"BOLD:AEC8412",1,NA
"BOLD:AEC9348",2,NA
"BOLD:AEC9670",1,NA
"BOLD:AEC9977",3,NA
"BOLD:AED0199",2,NA
"BOLD:AED2726",3,NA
"BOLD:AED5458",5,NA
"BOLD:AED9551",7,NA
"BOLD:AEE0125",1,NA
"BOLD:AEE3328",9,NA
"BOLD:AEE4080",1,NA
"BOLD:AEE4090",10,NA
"BOLD:AEE4932",1,NA
"BOLD:AEE6024",1,NA
"BOLD:AEE6670",1,NA
"BOLD:AEE7110",1,NA
"BOLD:AEE8413",2,NA
"BOLD:AEE8538",1,NA
"BOLD:AEF0382",7,NA
"BOLD:AEF0630",1,NA
"BOLD:AEF1117",1,NA
"BOLD:AEF1994",2,NA
"BOLD:AEF2028",3,NA
"BOLD:AEF2029",1,NA
"BOLD:AEF4738",2,NA
"BOLD:AEF4741",1,NA
"BOLD:AEF4794",3,NA
"BOLD:AEF5060",1,NA
"BOLD:AEF5851",1,NA
"BOLD:AEF7767",1,NA
"BOLD:AEG2950",2,NA
"BOLD:AEH1219",1,NA
"BOLD:AEH1426",1,NA
"BOLD:AEH2494",1,NA
"BOLD:AEH2543",1,NA
"BOLD:AEH3484",1,NA
"BOLD:AEI2174",4,NA
"BOLD:AEI2706",1,NA
"BOLD:AEI6194",1,NA
"BOLD:AEJ2493",2,NA
"BOLD:AEJ3126",1,NA
"BOLD:AEL9673",6,NA
"BOLD:AEM1564",7,NA
"BOLD:AEM5149",1,NA
"BOLD:AEM5849",1,NA
"BOLD:AEN0189",2,NA
"BOLD:AEN4016",2,NA
"BOLD:AEN5259",1,NA
"BOLD:AEN6512",1,NA
"BOLD:AEN7280",2,NA
"BOLD:AFF7722",1,NA
"BOLD:AFM1778",2,NA
"BOLD:AAA3302",NA,32
"BOLD:AAB0761",NA,47
"BOLD:AAB0762",NA,42
"BOLD:AAB0798",NA,104
"BOLD:AAB3999",NA,6
"BOLD:AAB4335",NA,33
"BOLD:AAC1545",NA,15
"BOLD:AAC3021",NA,16
"BOLD:AAC9989",NA,14
"BOLD:AAD0028",NA,12
"BOLD:AAD1255",NA,8
"BOLD:AAD5302",NA,15
"BOLD:AAD6012",NA,10
"BOLD:AAE3010",NA,26
"BOLD:AAE7891",NA,29
"BOLD:AAF7721",NA,3
"BOLD:AAF8040",NA,5
"BOLD:AAF8061",NA,8
"BOLD:AAF8115",NA,4
"BOLD:AAF9695",NA,3
"BOLD:AAG1124",NA,8
"BOLD:AAG1495",NA,4
"BOLD:AAK7340",NA,7
"BOLD:AAK7342",NA,5
"BOLD:AAM4285",NA,1
"BOLD:AAN2506",NA,2
"BOLD:AAU1168",NA,3
"BOLD:AAU1169",NA,2
"BOLD:AAW5718",NA,1
"BOLD:AAX4323",NA,1
"BOLD:AAX4326",NA,1
"BOLD:AAX4330",NA,1
"BOLD:AAX4331",NA,2
"BOLD:ABX0815",NA,1
"BOLD:ABX5813",NA,17
"BOLD:ABZ0401",NA,2
"BOLD:ACC1307",NA,1
"BOLD:ACC1541",NA,2
"BOLD:ACJ4794",NA,1
"BOLD:ACJ5327",NA,1
"BOLD:ACV3782",NA,2
"BOLD:ADB1589",NA,2
"BOLD:ADJ2493",NA,3
"BOLD:ADJ5535",NA,1
"BOLD:ADL6248",NA,1
"BOLD:AEB4308",NA,1
"BOLD:AEH4985",NA,1
"BOLD:AEJ9681",NA,1
"BOLD:AER2388",NA,2
"BOLD:AFH1087",NA,1
