"BIN","Core_Frequency","Reared_Frequency"
"BOLD:AAA7058",4,10
"BOLD:AAB4677",7,12
"BOLD:AAC3252",1,3
"BOLD:AAE4116",12,6
"BOLD:AAF0520",1,25
"BOLD:AAF3799",10,17
"BOLD:AAP9457",51,14
"BOLD:AAW4582",8,1
"BOLD:ACG8190",1,NA
"BOLD:ACK7403",1,6
"BOLD:ACK7939",4,12
"BOLD:ACR5126",1,NA
"BOLD:ADB2238",2,NA
"BOLD:ADB3971",8,NA
"BOLD:ADB4234",1,NA
"BOLD:ADF5149",3,NA
"BOLD:ADH6869",1,NA
"BOLD:ADJ5301",1,NA
"BOLD:AEB2814",1,NA
"BOLD:AEC7374",1,NA
"BOLD:AEF0784",1,NA
"BOLD:AEG4729",1,NA
"BOLD:AEG6187",3,NA
"BOLD:AEH3305",2,NA
"BOLD:AFM2001",1,NA
"BOLD:AFN2016",2,NA
"BOLD:AAA6564",NA,1
"BOLD:AAA7061",NA,3
"BOLD:AAB9913",NA,1
"BOLD:AAI9864",NA,2
"BOLD:AAL5547",NA,12
"BOLD:AAP9411",NA,13
"BOLD:AAT9449",NA,1
"BOLD:AAX3464",NA,1
"BOLD:AAX3465",NA,1
"BOLD:AAZ6457",NA,1
"BOLD:ABA7284",NA,1
"BOLD:ABA9321",NA,5
"BOLD:ABX5241",NA,12
"BOLD:ABY7812",NA,7
"BOLD:ACB2136",NA,24
"BOLD:ACB3674",NA,1
"BOLD:ACF3188",NA,1
"BOLD:ACK6060",NA,1
"BOLD:ACK7466",NA,106
"BOLD:ACK7467",NA,51
"BOLD:ACK7827",NA,1
"BOLD:ACK7901",NA,81
"BOLD:ACM2491",NA,4
"BOLD:ACM2584",NA,2
"BOLD:ADB0948",NA,1
"BOLD:ADD0088",NA,1
"BOLD:ADD0305",NA,4
"BOLD:AEF5717",NA,7
"BOLD:AET9985",NA,1
"BOLD:AFG9946",NA,1
"BOLD:AFH1902",NA,1
