"BIN","Core_Frequency","Reared_Frequency"
"BOLD:AAA8075",8,60
"BOLD:AAB0665",1,6
"BOLD:AAD3078",1,11
"BOLD:AAE3978",2,11
"BOLD:AAG9324",1,6
"BOLD:AAG9508",1,2
"BOLD:AAM1111",1,4
"BOLD:AAX4031",2,1
"BOLD:AAX4034",2,2
"BOLD:AAX4035",2,4
"BOLD:AAX4046",1,2
"BOLD:AAX4057",1,3
"BOLD:AAX4061",1,NA
"BOLD:AAY4745",1,1
"BOLD:ACC3709",3,1
"BOLD:ACE9731",1,3
"BOLD:ACS0642",1,NA
"BOLD:ACW5260",3,NA
"BOLD:ACW5717",2,NA
"BOLD:ACW6579",8,NA
"BOLD:ACZ5086",2,NA
"BOLD:ACZ6907",1,NA
"BOLD:ACZ7580",1,NA
"BOLD:ADA1951",1,NA
"BOLD:ADA3956",1,NA
"BOLD:ADB4943",1,NA
"BOLD:ADF3229",1,NA
"BOLD:ADF5414",4,NA
"BOLD:ADG1602",1,NA
"BOLD:ADJ5719",4,NA
"BOLD:ADQ7301",1,NA
"BOLD:AEB8319",1,NA
"BOLD:AEE4453",1,NA
"BOLD:AEE4774",1,NA
"BOLD:AEE9455",2,NA
"BOLD:AEF0106",2,NA
"BOLD:AEF0738",2,NA
"BOLD:AEF1590",12,NA
"BOLD:AEF1753",2,NA
"BOLD:AEF3165",1,NA
"BOLD:AEF9497",1,NA
"BOLD:AEJ1909",2,NA
"BOLD:AEK6458",1,NA
"BOLD:AEM5466",2,NA
"BOLD:AEM5645",1,NA
"BOLD:AEM7649",2,NA
"BOLD:AEM7802",1,NA
"BOLD:AEN3342",1,NA
"BOLD:AAA6111",NA,62
"BOLD:AAA6205",NA,1
"BOLD:AAB3993",NA,21
"BOLD:AAB4680",NA,1
"BOLD:AAB8789",NA,25
"BOLD:AAC0368",NA,17
"BOLD:AAC2766",NA,24
"BOLD:AAC4370",NA,1
"BOLD:AAC6093",NA,1
"BOLD:AAC6096",NA,7
"BOLD:AAC6097",NA,7
"BOLD:AAC6377",NA,12
"BOLD:AAC8600",NA,12
"BOLD:AAC8776",NA,13
"BOLD:AAD0123",NA,13
"BOLD:AAD1724",NA,11
"BOLD:AAD2703",NA,8
"BOLD:AAE4006",NA,11
"BOLD:AAE4152",NA,2
"BOLD:AAE9352",NA,19
"BOLD:AAE9552",NA,16
"BOLD:AAE9748",NA,4
"BOLD:AAE9757",NA,1
"BOLD:AAE9780",NA,5
"BOLD:AAF0551",NA,3
"BOLD:AAF0566",NA,3
"BOLD:AAF0585",NA,3
"BOLD:AAF0625",NA,4
"BOLD:AAF0637",NA,6
"BOLD:AAF0643",NA,18
"BOLD:AAF0671",NA,6
"BOLD:AAF0739",NA,4
"BOLD:AAF8905",NA,2
