"BIN","Core_Frequency","Reared_Frequency"
"BOLD:AAI5972",1,NA
"BOLD:AAJ9262",4,15
"BOLD:AAK7363",2,1
"BOLD:AAK8687",1,6
"BOLD:AAR9885",25,5
"BOLD:AAY4755",1,4
"BOLD:ACJ6914",9,NA
"BOLD:ACL7804",3,NA
"BOLD:ACY4067",1,NA
"BOLD:ACZ4296",2,NA
"BOLD:ADA2984",1,NA
"BOLD:ADB0328",458,NA
"BOLD:ADB8195",6,NA
"BOLD:ADB8977",1,NA
"BOLD:ADB9674",1,NA
"BOLD:ADC0098",1,NA
"BOLD:ADK8684",1,NA
"BOLD:AEA3404",4,NA
"BOLD:AEA7855",1,NA
"BOLD:AED0386",1,NA
"BOLD:AEE0927",1,NA
"BOLD:AEF8187",1,NA
"BOLD:AEF8850",1,NA
"BOLD:AEG9636",1,NA
"BOLD:AEH7271",2,NA
"BOLD:AEI6728",1,NA
"BOLD:AEM9372",5,NA
"BOLD:AEN3257",1,NA
"BOLD:AEN3837",3,NA
"BOLD:AES8540",6,NA
"BOLD:AAA6564",NA,88
"BOLD:AAA6634",NA,124
"BOLD:AAA7981",NA,147
"BOLD:AAB6711",NA,26
"BOLD:AAB9281",NA,37
"BOLD:AAC8976",NA,9
"BOLD:AAC9840",NA,36
"BOLD:AAD2544",NA,15
"BOLD:AAD2725",NA,29
"BOLD:AAD6183",NA,45
"BOLD:AAE0181",NA,64
"BOLD:AAE3257",NA,18
"BOLD:AAE7104",NA,4
"BOLD:AAE7725",NA,19
"BOLD:AAF3926",NA,3
"BOLD:AAG1485",NA,4
"BOLD:AAG8198",NA,2
"BOLD:AAH7934",NA,4
"BOLD:AAH7937",NA,4
"BOLD:AAI7639",NA,3
"BOLD:AAJ2453",NA,3
"BOLD:AAK3263",NA,3
"BOLD:AAK3272",NA,2
"BOLD:AAK8676",NA,10
"BOLD:AAK8677",NA,5
"BOLD:AAM1721",NA,2
"BOLD:AAP0974",NA,4
"BOLD:AAR4887",NA,2
"BOLD:AAR9883",NA,1
"BOLD:AAR9884",NA,1
"BOLD:AAW4703",NA,2
"BOLD:AAW5457",NA,2
"BOLD:AAW8162",NA,6
"BOLD:AAX5044",NA,4
"BOLD:AAY4750",NA,5
"BOLD:AAZ6420",NA,1
"BOLD:ABA9264",NA,5
"BOLD:ABA9307",NA,8
"BOLD:ABU7462",NA,1
"BOLD:ABX0077",NA,1
"BOLD:ABX4487",NA,3
"BOLD:ABX4677",NA,1
"BOLD:ABX5503",NA,1
"BOLD:ABX8570",NA,1
"BOLD:ABY5496",NA,15
"BOLD:ABY6720",NA,7
"BOLD:ABZ0853",NA,11
"BOLD:ACF0969",NA,10
"BOLD:ACI2823",NA,1
"BOLD:ACI3066",NA,1
"BOLD:ACJ4795",NA,3
"BOLD:ACK4209",NA,1
"BOLD:ACM2243",NA,1
"BOLD:ACT1537",NA,1
"BOLD:ADY0687",NA,1
"BOLD:AER2363",NA,2
"BOLD:AET9985",NA,1
"BOLD:AGB5760",NA,1
