"BIN","Core_Frequency","Reared_Frequency"
"BOLD:AAA1223",32,NA
"BOLD:AAA1265",13,NA
"BOLD:AAA1634",4,278
"BOLD:AAA2445",3,NA
"BOLD:AAA2794",19,NA
"BOLD:AAA2816",9,NA
"BOLD:AAA2958",5,NA
"BOLD:AAA3077",34,NA
"BOLD:AAA3934",209,NA
"BOLD:AAA4554",208,NA
"BOLD:AAA4564",1,NA
"BOLD:AAA4794",7,27
"BOLD:AAA6269",9,NA
"BOLD:AAA6667",176,NA
"BOLD:AAA6668",21,NA
"BOLD:AAA7143",41,575
"BOLD:AAA7181",1,54
"BOLD:AAA8869",2,NA
"BOLD:AAA9309",7,NA
"BOLD:AAB0594",58,NA
"BOLD:AAB1086",1,53
"BOLD:AAB2471",6,13
"BOLD:AAB2826",14,NA
"BOLD:AAB5549",8,NA
"BOLD:AAB6336",1,39
"BOLD:AAB6927",5,NA
"BOLD:AAB7535",2,26
"BOLD:AAB7636",53,9
"BOLD:AAB8584",1,150
"BOLD:AAB9141",2,22
"BOLD:AAB9372",11,NA
"BOLD:AAB9863",29,NA
"BOLD:AAC0735",231,NA
"BOLD:AAC1160",1,1
"BOLD:AAC1179",6,8
"BOLD:AAC1260",1,20
"BOLD:AAC1266",12,NA
"BOLD:AAC2117",95,NA
"BOLD:AAC2295",1,36
"BOLD:AAC5219",11,21
"BOLD:AAC5317",8,NA
"BOLD:AAC6114",3,NA
"BOLD:AAC6165",4,NA
"BOLD:AAC6257",5,3
"BOLD:AAC7481",2,NA
"BOLD:AAC8392",13,NA
"BOLD:AAC8420",10,40
"BOLD:AAC9585",1,26
"BOLD:AAC9678",3,NA
"BOLD:AAC9684",2,1
"BOLD:AAD1416",5,21
"BOLD:AAD1799",1,12
"BOLD:AAD1805",1,NA
"BOLD:AAD2236",93,NA
"BOLD:AAD3521",2,NA
"BOLD:AAD3623",2,NA
"BOLD:AAD3624",17,NA
"BOLD:AAD3978",2,8
"BOLD:AAD4440",2,NA
"BOLD:AAD4646",2,2
"BOLD:AAD6534",1,NA
"BOLD:AAD6535",2,NA
"BOLD:AAD6849",3,NA
"BOLD:AAD6850",1,NA
"BOLD:AAD6988",2,NA
"BOLD:AAD9471",1,NA
"BOLD:AAD9684",1,NA
"BOLD:AAD9699",51,NA
"BOLD:AAD9754",6,NA
"BOLD:AAE0922",403,NA
"BOLD:AAE0967",1,NA
"BOLD:AAE1352",1,5
"BOLD:AAE2270",1,NA
"BOLD:AAE2842",17,29
"BOLD:AAE3605",1,5
"BOLD:AAE5701",1,2
"BOLD:AAE6754",2,8
"BOLD:AAE7080",38,NA
"BOLD:AAE7160",6,1
"BOLD:AAE8274",13,NA
"BOLD:AAE8275",3,18
"BOLD:AAE8429",7,5
"BOLD:AAE8596",1,NA
"BOLD:AAE8602",16,NA
"BOLD:AAE9335",12,7
"BOLD:AAE9345",5,3
"BOLD:AAF3301",1,7
"BOLD:AAF4762",1,3
"BOLD:AAF5702",3,2
"BOLD:AAF5712",15,NA
"BOLD:AAF6107",12,NA
"BOLD:AAF7670",20,NA
"BOLD:AAF8074",1,23
"BOLD:AAF8130",1,NA
"BOLD:AAF8182",7,3
"BOLD:AAF8296",1,NA
"BOLD:AAF8310",1,8
"BOLD:AAF8353",2,46
"BOLD:AAH2836",7,NA
"BOLD:AAI7271",1,2
"BOLD:AAI7282",1,NA
"BOLD:AAI7285",10,NA
"BOLD:AAI7293",5,1
"BOLD:AAI7299",1,18
"BOLD:AAI7301",4,11
"BOLD:AAI7313",1,3
"BOLD:AAI7344",2,4
"BOLD:AAI7795",12,12
"BOLD:AAI9077",11,1
"BOLD:AAI9747",3,NA
"BOLD:AAJ1367",5,NA
"BOLD:AAJ1368",6,NA
"BOLD:AAJ1513",2,NA
"BOLD:AAJ1515",1,12
"BOLD:AAJ5618",1,1
"BOLD:AAJ5709",4,1
"BOLD:AAK0117",1,NA
"BOLD:AAK1566",1,NA
"BOLD:AAK1628",13,2
"BOLD:AAK1643",4,NA
"BOLD:AAK1646",4,NA
"BOLD:AAK1654",2,NA
"BOLD:AAK1700",3,1
"BOLD:AAK1709",3,NA
"BOLD:AAK1722",1,NA
"BOLD:AAK3035",8,8
"BOLD:AAK9737",10,NA
