"BIN","Core_Frequency","Reared_Frequency"
"BOLD:AAB9913",2,26
"BOLD:AAC0680",1,13
"BOLD:AAC1956",7,17
"BOLD:AAC6002",1,12
"BOLD:AAC9511",1,12
"BOLD:AAC9512",2,13
"BOLD:AAC9547",16,12
"BOLD:AAD6038",3,13
"BOLD:AAE9911",1,4
"BOLD:AAF0929",1,3
"BOLD:AAJ0755",1,4
"BOLD:AAX6886",1,1
"BOLD:AAX6888",1,3
"BOLD:AAX8639",1,1
"BOLD:ABX5343",2,62
"BOLD:ABY1656",16,NA
"BOLD:ACL7115",12,1
"BOLD:ACR8215",1,NA
"BOLD:ADB3754",2,NA
"BOLD:ADI6162",1,NA
"BOLD:ADI7044",2,NA
"BOLD:AEE9927",1,NA
"BOLD:AEH0511",1,NA
"BOLD:AAA3767",NA,113
"BOLD:AAA6184",NA,7
"BOLD:AAA8790",NA,56
"BOLD:AAB6576",NA,19
"BOLD:AAB7595",NA,24
"BOLD:AAB7596",NA,13
"BOLD:AAB7597",NA,1
"BOLD:AAB7598",NA,29
"BOLD:AAB7599",NA,7
"BOLD:AAB8542",NA,12
"BOLD:AAB8553",NA,11
"BOLD:AAB8554",NA,21
"BOLD:AAB8555",NA,2
"BOLD:AAB8637",NA,13
"BOLD:AAB9977",NA,6
"BOLD:AAC1968",NA,13
"BOLD:AAC5879",NA,13
"BOLD:AAC7801",NA,13
"BOLD:AAC7825",NA,5
"BOLD:AAD1549",NA,11
"BOLD:AAD1591",NA,5
"BOLD:AAD1592",NA,4
"BOLD:AAD5094",NA,8
"BOLD:AAD5590",NA,6
"BOLD:AAD5867",NA,8
"BOLD:AAD5971",NA,7
"BOLD:AAE3474",NA,5
"BOLD:AAE7858",NA,4
"BOLD:AAE7862",NA,3
"BOLD:AAE9960",NA,6
"BOLD:AAF0240",NA,2
"BOLD:AAF0241",NA,1
"BOLD:AAF0276",NA,5
"BOLD:AAF0311",NA,3
"BOLD:AAF0363",NA,5
"BOLD:AAF0406",NA,4
"BOLD:AAF7175",NA,2
"BOLD:AAF7221",NA,3
"BOLD:AAF7407",NA,3
"BOLD:AAF7562",NA,3
"BOLD:AAF7582",NA,3
"BOLD:AAF7620",NA,5
"BOLD:AAG7550",NA,1
"BOLD:AAG7649",NA,2
"BOLD:AAI5145",NA,1
"BOLD:AAJ0763",NA,2
"BOLD:AAJ0765",NA,2
"BOLD:AAJ0768",NA,6
"BOLD:AAJ0770",NA,2
"BOLD:AAJ0771",NA,2
"BOLD:AAJ0772",NA,4
"BOLD:AAJ5095",NA,1
"BOLD:AAL0444",NA,7
"BOLD:AAM2532",NA,2
"BOLD:AAO1479",NA,1
"BOLD:AAQ1376",NA,3
"BOLD:AAV2257",NA,3
"BOLD:AAX6861",NA,3
"BOLD:AAX6862",NA,1
"BOLD:AAX6884",NA,2
"BOLD:AAX6885",NA,1
"BOLD:AAX6887",NA,1
"BOLD:AAX6889",NA,1
"BOLD:AAX6892",NA,1
"BOLD:AAX6893",NA,1
"BOLD:AAX6894",NA,1
"BOLD:AAX6895",NA,2
"BOLD:AAX6896",NA,1
"BOLD:ABA0639",NA,8
"BOLD:ABA0647",NA,1
"BOLD:ABA0650",NA,3
"BOLD:ABW6992",NA,1
"BOLD:ABX5910",NA,2
"BOLD:ABZ8140",NA,1
"BOLD:ACF4166",NA,2
"BOLD:ACH0666",NA,1
"BOLD:ACM4029",NA,2
"BOLD:ADL5940",NA,1
"BOLD:ADQ2739",NA,1
"BOLD:AEC5131",NA,2
"BOLD:AEJ2794",NA,1
"BOLD:AEK1052",NA,1
"BOLD:AFH2294",NA,1
"BOLD:AFL0563",NA,1
"BOLD:AGE9603",NA,3
