"BIN","Core_Frequency","Reared_Frequency"
"BOLD:AAH9964",3,2
"BOLD:AAI2109",1,NA
"BOLD:AAM1059",9,3
"BOLD:ACL4839",19,NA
"BOLD:ACR9910",4,NA
"BOLD:ACS0067",2,NA
"BOLD:ACT7418",1,NA
"BOLD:ACZ9980",1,NA
"BOLD:ADA6087",28,NA
"BOLD:ADA8348",9,NA
"BOLD:ADB0231",1,NA
"BOLD:ADB0533",3,NA
"BOLD:ADB0825",2,NA
"BOLD:ADB9574",1,NA
"BOLD:ADC2001",1,NA
"BOLD:ADG8044",1,NA
"BOLD:ADH3907",1,NA
"BOLD:ADW2886",9,NA
"BOLD:ADX8196",3,NA
"BOLD:AEB7429",12,NA
"BOLD:AEE3498",17,1
"BOLD:AEF6946",1,NA
"BOLD:AEG3336",5,NA
"BOLD:AEI7674",1,NA
"BOLD:AEJ5325",1,NA
"BOLD:AEK4924",2,NA
"BOLD:AEN4552",2,NA
"BOLD:AFK5645",2,NA
"BOLD:AFX6927",1,NA
"BOLD:AGG4274",1,NA
"BOLD:AAB3996",NA,2
"BOLD:AAD5731",NA,8
"BOLD:AAG3930",NA,8
"BOLD:AAI2111",NA,15
"BOLD:AAJ5021",NA,1
"BOLD:AAK5505",NA,11
"BOLD:AAL9316",NA,2
"BOLD:AAM1105",NA,1
"BOLD:AAN2501",NA,2
"BOLD:AAT9015",NA,13
"BOLD:AAU1670",NA,4
"BOLD:AAW8981",NA,31
"BOLD:AAW8985",NA,1
"BOLD:ABA8481",NA,11
"BOLD:ABA8537",NA,4
"BOLD:ABU7457",NA,15
"BOLD:ABX0808",NA,6
"BOLD:ABX5811",NA,3
"BOLD:ABZ9478",NA,14
"BOLD:ACB1896",NA,1
"BOLD:ACB2340",NA,2
"BOLD:ACJ4626",NA,2
"BOLD:ACM9544",NA,1
"BOLD:ADY7227",NA,2
"BOLD:AEC3983",NA,1
