"BIN","Core_Frequency","Reared_Frequency"
"BOLD:AAA5374",12,2
"BOLD:AAB1658",1,4
"BOLD:AAE0329",5,3
"BOLD:AAH6910",3,NA
"BOLD:AAH8700",1,NA
"BOLD:AAH8703",2,NA
"BOLD:AAH8705",2,NA
"BOLD:AAH8712",1,NA
"BOLD:AAH8721",1,NA
"BOLD:AAH8733",2,NA
"BOLD:AAH8920",9,NA
"BOLD:AAJ8818",1,NA
"BOLD:AAM1443",4,2
"BOLD:AAM5650",1,NA
"BOLD:AAM5670",1,NA
"BOLD:AAM5671",2,NA
"BOLD:AAM5673",1,NA
"BOLD:AAM5683",3,NA
"BOLD:AAM5951",14,NA
"BOLD:AAM9596",29,NA
"BOLD:AAM9598",49,1
"BOLD:AAU6089",4,NA
"BOLD:AAW1568",1,1
"BOLD:ABA9319",1,1
"BOLD:ABV2819",4,NA
"BOLD:ABV9894",1,NA
"BOLD:ABW3270",2,NA
"BOLD:ABX5209",1,14
"BOLD:ACF6933",27,NA
"BOLD:ACG5440",5,NA
"BOLD:ACG6844",2,NA
"BOLD:ACG8400",7,NA
"BOLD:ACJ1403",8,NA
"BOLD:ACJ2417",130,NA
"BOLD:ACJ2495",5,NA
"BOLD:ACJ2551",1,NA
"BOLD:ACK7801",1,11
"BOLD:ACL0293",29,NA
"BOLD:ACL0916",27,NA
"BOLD:ACL3545",9,NA
"BOLD:ACL3899",13,NA
"BOLD:ACO7975",1,NA
"BOLD:ACR4858",6,NA
"BOLD:ACR5353",2,NA
"BOLD:ACS0876",11,NA
"BOLD:ACU2791",1,NA
"BOLD:ACX5348",1,NA
"BOLD:ADA2251",1,NA
"BOLD:ADA2501",1,NA
"BOLD:ADB1770",2,NA
"BOLD:ADB3223",1,NA
"BOLD:ADB3278",8,NA
"BOLD:ADB5068",2,NA
"BOLD:ADB6156",14,NA
"BOLD:ADB6582",11,NA
"BOLD:ADB9297",1,NA
"BOLD:ADF6889",1,NA
"BOLD:ADV9625",1,NA
"BOLD:AEA4202",2,NA
"BOLD:AEA6798",1,NA
"BOLD:AEA7610",2,NA
"BOLD:AEE7448",2,NA
"BOLD:AEF0601",1,NA
"BOLD:AEF3726",1,NA
"BOLD:AEF3820",2,NA
"BOLD:AEF7075",2,NA
"BOLD:AEF7981",2,NA
"BOLD:AEF9838",1,NA
"BOLD:AEG6974",1,NA
"BOLD:AEH0346",1,NA
"BOLD:AEJ6297",1,NA
"BOLD:AEM7033",2,NA
"BOLD:AEN2332",1,NA
"BOLD:AEN7322",1,NA
"BOLD:AER5192",49,NA
"BOLD:AES3821",1,NA
"BOLD:AFM3145",1,NA
"BOLD:AFR2842",40,NA
"BOLD:AGD1334",1,NA
"BOLD:AAA5370",NA,3
"BOLD:AAA5372",NA,6
"BOLD:AAA5373",NA,1
"BOLD:AAA5375",NA,4
"BOLD:AAA5377",NA,5
"BOLD:AAA5378",NA,4
"BOLD:AAA7065",NA,9
"BOLD:AAB1652",NA,11
"BOLD:AAB8975",NA,26
"BOLD:AAC3253",NA,1
"BOLD:AAD2033",NA,20
"BOLD:AAD7334",NA,8
"BOLD:AAD7872",NA,10
"BOLD:AAD7873",NA,8
"BOLD:AAF7900",NA,7
"BOLD:AAH8707",NA,6
"BOLD:AAH8815",NA,1
"BOLD:AAJ2715",NA,3
"BOLD:AAJ3968",NA,5
"BOLD:AAJ4076",NA,2
"BOLD:AAJ4092",NA,6
"BOLD:AAJ5011",NA,4
"BOLD:AAL5801",NA,10
"BOLD:AAM1704",NA,1
"BOLD:AAM1722",NA,1
"BOLD:AAM5640",NA,3
"BOLD:AAM5647",NA,1
"BOLD:AAM5664",NA,1
"BOLD:AAT8850",NA,1
"BOLD:AAT9023",NA,4
"BOLD:AAT9450",NA,1
"BOLD:AAV7490",NA,2
"BOLD:AAV7512",NA,1
"BOLD:AAW1546",NA,2
"BOLD:AAW1564",NA,1
"BOLD:AAW1567",NA,1
"BOLD:AAW1573",NA,2
"BOLD:AAW1574",NA,1
"BOLD:AAW1603",NA,4
"BOLD:AAX3381",NA,4
"BOLD:ABA7287",NA,1
"BOLD:ABU5849",NA,1
"BOLD:ABU7454",NA,1
"BOLD:ABU8062",NA,5
"BOLD:ABX5740",NA,1
"BOLD:ABY3599",NA,1
"BOLD:ABZ7672",NA,1
