"BIN","Core_Frequency","Reared_Frequency"
"BOLD:AAG8106",9,NA
"BOLD:AAI3094",1,7
"BOLD:AAW5033",3,2
"BOLD:ABA0642",1,NA
"BOLD:ABA0654",1,NA
"BOLD:ACR5936",1,NA
"BOLD:ACZ7428",1,NA
"BOLD:ADF4956",2,NA
"BOLD:ADH4577",5,NA
"BOLD:ADI7877",1,NA
"BOLD:ADJ0813",2,NA
"BOLD:ADJ4397",1,NA
"BOLD:ADJ9194",1,NA
"BOLD:ADY1176",1,NA
"BOLD:AEC6776",8,NA
"BOLD:AEC9833",3,NA
"BOLD:AEE2336",5,NA
"BOLD:AEE9791",1,NA
"BOLD:AEF5353",3,NA
"BOLD:AEL2710",1,NA
"BOLD:AEM6024",1,NA
"BOLD:AAF2622",NA,10
"BOLD:AAI5146",NA,1
"BOLD:AAX6292",NA,4
"BOLD:AAX6294",NA,1
"BOLD:AAX6296",NA,1
"BOLD:AAX6298",NA,1
"BOLD:ABA8482",NA,1
"BOLD:ABA9425",NA,4
"BOLD:ABX4526",NA,2
"BOLD:ACB1400",NA,6
