BOLD Code,Frequency,,,
BOLD:AAA1223,32,,,
BOLD:AAA1265,13,,,
BOLD:AAA1468,1,,,
BOLD:AAA1634,4,,,
BOLD:AAA1638,2,,,
BOLD:AAA1676,3,,,
BOLD:AAA2292,7,,,
BOLD:AAA2326,40,,,
BOLD:AAA2445,3,,,
BOLD:AAA2794,19,,,
BOLD:AAA2816,9,,,
BOLD:AAA2958,5,,,
BOLD:AAA3077,34,,,
BOLD:AAA3842,1724,,,
BOLD:AAA3934,209,,,
BOLD:AAA4444,6,,,
BOLD:AAA4554,208,,,
BOLD:AAA4564,1,,,
BOLD:AAA4572,56,,,
BOLD:AAA4575,1,,,
BOLD:AAA4578,4,,,
BOLD:AAA4583,1,,,
BOLD:AAA4584,4,,,
BOLD:AAA4587,5,,,
BOLD:AAA4603,3,,,
BOLD:AAA4794,7,,,
BOLD:AAA4879,1,,,
BOLD:AAA5105,4,,,
BOLD:AAA5343,939,,,
BOLD:AAA5354,431,,,
BOLD:AAA5357,2,,,
BOLD:AAA5374,12,,,
BOLD:AAA5553,10,,,
BOLD:AAA5648,67,,,
BOLD:AAA5925,2,,,
BOLD:AAA6183,7,,,
BOLD:AAA6269,9,,,
BOLD:AAA6277,1,,,
BOLD:AAA6667,176,,,
BOLD:AAA6668,21,,,
BOLD:AAA7058,4,,,
BOLD:AAA7143,41,,,
BOLD:AAA7181,1,,,
BOLD:AAA7203,23,,,
BOLD:AAA7562,50,,,
BOLD:AAA7636,4,,,
BOLD:AAA7736,1,,,
BOLD:AAA8075,8,,,
BOLD:AAA8327,3,,,
BOLD:AAA8867,150,,,
BOLD:AAA8869,2,,,
BOLD:AAA9309,7,,,
BOLD:AAA9461,1,,,
BOLD:AAA9953,15,,,
BOLD:AAB0361,10,,,
BOLD:AAB0505,52,,,
BOLD:AAB0594,58,,,
BOLD:AAB0665,1,,,
BOLD:AAB0675,2,,,
BOLD:AAB1086,1,,,
BOLD:AAB1343,3,,,
BOLD:AAB1658,1,,,
BOLD:AAB1735,3,,,
BOLD:AAB1865,68,,,
BOLD:AAB1917,1,,,
BOLD:AAB2468,71,,,
BOLD:AAB2471,6,,,
BOLD:AAB2710,7,,,
BOLD:AAB2826,14,,,
BOLD:AAB3251,2,,,
BOLD:AAB3662,44,,,
BOLD:AAB4106,2,,,
BOLD:AAB4547,12,,,
BOLD:AAB4566,12,,,
BOLD:AAB4677,7,,,
BOLD:AAB4883,5,,,
BOLD:AAB4887,1,,,
BOLD:AAB5083,8,,,
BOLD:AAB5084,53,,,
BOLD:AAB5549,8,,,
BOLD:AAB6336,1,,,
BOLD:AAB6341,1,,,
BOLD:AAB6355,1,,,
BOLD:AAB6814,968,,,
BOLD:AAB6927,5,,,
BOLD:AAB6974,12,,,
BOLD:AAB7488,10,,,
BOLD:AAB7535,2,,,
BOLD:AAB7608,13,,,
BOLD:AAB7636,53,,,
BOLD:AAB7675,6,,,
BOLD:AAB7807,8,,,
BOLD:AAB8584,1,,,
BOLD:AAB9141,2,,,
BOLD:AAB9372,11,,,
BOLD:AAB9408,1,,,
BOLD:AAB9409,14,,,
BOLD:AAB9544,1,,,
BOLD:AAB9546,4,,,
BOLD:AAB9724,16,,,
BOLD:AAB9863,29,,,
BOLD:AAB9905,31,,,
BOLD:AAB9910,13,,,
BOLD:AAB9913,2,,,
BOLD:AAB9970,334,,,
BOLD:AAC0001,92,,,
BOLD:AAC0244,9,,,
BOLD:AAC0572,2,,,
BOLD:AAC0680,1,,,
BOLD:AAC0735,231,,,
BOLD:AAC0762,15,,,
BOLD:AAC1013,32,,,
BOLD:AAC1160,1,,,
BOLD:AAC1179,6,,,
BOLD:AAC1260,1,,,
BOLD:AAC1266,12,,,
BOLD:AAC1669,1,,,
BOLD:AAC1881,90,,,
BOLD:AAC1882,96,,,
BOLD:AAC1956,7,,,
BOLD:AAC2017,12,,,
BOLD:AAC2018,13,,,
BOLD:AAC2117,95,,,
BOLD:AAC2202,18,,,
BOLD:AAC2295,1,,,
BOLD:AAC2494,8,,,
BOLD:AAC2496,5,,,
BOLD:AAC2708,33,,,
BOLD:AAC2712,104,,,
BOLD:AAC2713,9,,,
BOLD:AAC2782,25,,,
BOLD:AAC3252,1,,,
BOLD:AAC3254,3,,,
BOLD:AAC3256,16,,,
BOLD:AAC3585,2,,,
BOLD:AAC3883,116,,,
BOLD:AAC4046,789,,,
BOLD:AAC4055,9,,,
BOLD:AAC4370,5,,,
BOLD:AAC5219,11,,,
BOLD:AAC5317,8,,,
BOLD:AAC5364,169,,,
BOLD:AAC6002,1,,,
BOLD:AAC6114,3,,,
BOLD:AAC6165,4,,,
BOLD:AAC6257,5,,,
BOLD:AAC6409,6,,,
BOLD:AAC6525,22,,,
BOLD:AAC6556,7,,,
BOLD:AAC7040,447,,,
BOLD:AAC7354,27,,,
BOLD:AAC7481,2,,,
BOLD:AAC7691,75,,,
BOLD:AAC7696,1,,,
BOLD:AAC8392,13,,,
BOLD:AAC8420,10,,,
BOLD:AAC8570,60,,,
BOLD:AAC8830,25,,,
BOLD:AAC8924,9,,,
BOLD:AAC9245,1,,,
BOLD:AAC9277,1,,,
BOLD:AAC9511,1,,,
BOLD:AAC9512,2,,,
BOLD:AAC9547,16,,,
BOLD:AAC9585,1,,,
BOLD:AAC9678,3,,,
BOLD:AAC9684,2,,,
BOLD:AAC9790,36,,,
BOLD:AAD0209,65,,,
BOLD:AAD0325,2,,,
BOLD:AAD0470,17,,,
BOLD:AAD0848,63,,,
BOLD:AAD1123,1,,,
BOLD:AAD1129,4,,,
BOLD:AAD1322,2,,,
BOLD:AAD1331,6,,,
BOLD:AAD1416,5,,,
BOLD:AAD1565,3,,,
BOLD:AAD1799,1,,,
BOLD:AAD1805,1,,,
BOLD:AAD2236,93,,,
BOLD:AAD2432,14,,,
BOLD:AAD2868,1,,,
BOLD:AAD3078,1,,,
BOLD:AAD3081,26,,,
BOLD:AAD3521,2,,,
BOLD:AAD3623,2,,,
BOLD:AAD3624,17,,,
BOLD:AAD3978,2,,,
BOLD:AAD4056,2,,,
BOLD:AAD4085,1,,,
BOLD:AAD4440,2,,,
