BOLD code,Frequency,,,
BOLD:AAA1223,32,,,
BOLD:AAA1265,13,,,
BOLD:AAA1634,4,,,
BOLD:AAA1638,2,,,
BOLD:AAA2292,7,,,
BOLD:AAA2445,3,,,
BOLD:AAA2794,19,,,
BOLD:AAA2816,9,,,
BOLD:AAA2958,5,,,
BOLD:AAA3077,34,,,
BOLD:AAA3934,209,,,
BOLD:AAA4444,6,,,
BOLD:AAA4554,208,,,
BOLD:AAA4564,1,,,
BOLD:AAA4572,56,,,
BOLD:AAA4575,1,,,
BOLD:AAA4578,4,,,
BOLD:AAA4583,1,,,
BOLD:AAA4584,4,,,
BOLD:AAA4587,5,,,
BOLD:AAA4603,3,,,
BOLD:AAA4794,7,,,
BOLD:AAA5105,4,,,
BOLD:AAA5374,12,,,
BOLD:AAA5925,2,,,
BOLD:AAA6269,9,,,
BOLD:AAA6277,1,,,
BOLD:AAA6667,176,,,
BOLD:AAA6668,21,,,
BOLD:AAA7058,4,,,
BOLD:AAA7143,41,,,
BOLD:AAA7181,1,,,
BOLD:AAA7636,4,,,
BOLD:AAA7736,1,,,
BOLD:AAA8075,8,,,
BOLD:AAA8869,2,,,
BOLD:AAA9309,7,,,
BOLD:AAA9953,15,,,
BOLD:AAB0361,10,,,
BOLD:AAB0505,52,,,
BOLD:AAB0594,58,,,
BOLD:AAB0665,1,,,
BOLD:AAB0675,2,,,
BOLD:AAB1086,1,,,
BOLD:AAB1658,1,,,
BOLD:AAB2471,6,,,
BOLD:AAB2710,7,,,
BOLD:AAB2826,14,,,
BOLD:AAB3251,2,,,
BOLD:AAB3662,44,,,
BOLD:AAB4106,2,,,
BOLD:AAB4547,12,,,
BOLD:AAB4566,12,,,
BOLD:AAB4677,7,,,
BOLD:AAB5549,8,,,
BOLD:AAB6336,1,,,
BOLD:AAB6341,1,,,
BOLD:AAB6355,1,,,
BOLD:AAB6927,5,,,
BOLD:AAB7488,10,,,
BOLD:AAB7535,2,,,
BOLD:AAB7636,53,,,
BOLD:AAB7807,8,,,
BOLD:AAB8584,1,,,
BOLD:AAB9141,2,,,
BOLD:AAB9372,11,,,
BOLD:AAB9863,29,,,
BOLD:AAB9913,2,,,
BOLD:AAC0680,1,,,
BOLD:AAC0735,231,,,
BOLD:AAC1160,1,,,
BOLD:AAC1179,6,,,
BOLD:AAC1260,1,,,
BOLD:AAC1266,12,,,
BOLD:AAC1669,1,,,
BOLD:AAC1956,7,,,
BOLD:AAC2117,95,,,
BOLD:AAC2295,1,,,
BOLD:AAC3252,1,,,
BOLD:AAC4370,5,,,
BOLD:AAC5219,11,,,
BOLD:AAC5317,8,,,
BOLD:AAC6002,1,,,
BOLD:AAC6114,3,,,
BOLD:AAC6165,4,,,
BOLD:AAC6257,5,,,
BOLD:AAC7354,27,,,
BOLD:AAC7481,2,,,
BOLD:AAC8392,13,,,
BOLD:AAC8420,10,,,
BOLD:AAC9245,1,,,
BOLD:AAC9277,1,,,
BOLD:AAC9511,1,,,
BOLD:AAC9512,2,,,
BOLD:AAC9547,16,,,
BOLD:AAC9585,1,,,
BOLD:AAC9678,3,,,
BOLD:AAC9684,2,,,
BOLD:AAC9790,36,,,
BOLD:AAD0209,65,,,
BOLD:AAD1123,1,,,
BOLD:AAD1129,4,,,
BOLD:AAD1322,2,,,
BOLD:AAD1416,5,,,
BOLD:AAD1799,1,,,
BOLD:AAD1805,1,,,
BOLD:AAD2236,93,,,
BOLD:AAD2432,14,,,
BOLD:AAD3078,1,,,
BOLD:AAD3521,2,,,
BOLD:AAD3623,2,,,
BOLD:AAD3624,17,,,
BOLD:AAD3978,2,,,
BOLD:AAD4440,2,,,
BOLD:AAD4574,2,,,
BOLD:AAD4646,2,,,
BOLD:AAD4982,15,,,
BOLD:AAD5279,10,,,
BOLD:AAD5588,1,,,
BOLD:AAD6038,3,,,
BOLD:AAD6202,6,,,
BOLD:AAD6534,1,,,
BOLD:AAD6535,2,,,
BOLD:AAD6849,3,,,
BOLD:AAD6850,1,,,
BOLD:AAD6988,2,,,
BOLD:AAD9471,1,,,
BOLD:AAD9684,1,,,
BOLD:AAD9699,51,,,
BOLD:AAD9754,6,,,
BOLD:AAE0329,5,,,
BOLD:AAE0922,403,,,
BOLD:AAE0967,1,,,
BOLD:AAE1352,1,,,
BOLD:AAE2270,1,,,
BOLD:AAE2516,1,,,
BOLD:AAE2842,17,,,
BOLD:AAE3605,1,,,
BOLD:AAE3978,2,,,
BOLD:AAE4116,12,,,
BOLD:AAE5701,1,,,
BOLD:AAE6454,16,,,
BOLD:AAE6754,2,,,
BOLD:AAE7080,38,,,
BOLD:AAE7160,6,,,
BOLD:AAE7879,1,,,
BOLD:AAE8205,1,,,
BOLD:AAE8274,13,,,
BOLD:AAE8275,3,,,
BOLD:AAE8429,7,,,
BOLD:AAE8596,1,,,
BOLD:AAE8602,16,,,
BOLD:AAE9335,12,,,
BOLD:AAE9345,5,,,
BOLD:AAE9911,1,,,
BOLD:AAF0520,1,,,
BOLD:AAF0929,1,,,
BOLD:AAF1081,1,,,
BOLD:AAF2019,1,,,
BOLD:AAF2633,1,,,
BOLD:AAF3301,1,,,
BOLD:AAF3799,10,,,
BOLD:AAF4393,1,,,
BOLD:AAF4483,48,,,
BOLD:AAF4762,1,,,
BOLD:AAF5702,3,,,
BOLD:AAF5712,15,,,
BOLD:AAF6094,2,,,
BOLD:AAF6107,12,,,
BOLD:AAF6280,2,,,
BOLD:AAF6329,1,,,
BOLD:AAF7670,20,,,
BOLD:AAF8047,1,,,
BOLD:AAF8074,1,,,
BOLD:AAF8130,1,,,
BOLD:AAF8182,7,,,
BOLD:AAF8211,1,,,
BOLD:AAF8296,1,,,
BOLD:AAF8310,1,,,
BOLD:AAF8353,2,,,
BOLD:AAF8662,8,,,
BOLD:AAF8734,12,,,
BOLD:AAG1371,3,,,
BOLD:AAG1373,3,,,
BOLD:AAG1375,2,,,
BOLD:AAG1379,1,,,
BOLD:AAG1402,1,,,
BOLD:AAG1478,11,,,
BOLD:AAG2990,1,,,
BOLD:AAG8058,2,,,
BOLD:AAG8071,1,,,
BOLD:AAG8084,410,,,
