BOLD code,Frequency,,,
BOLD:AAA0006,14,,,
BOLD:AAA0009,2,,,
BOLD:AAA0011,27,,,
BOLD:AAA0012,1,,,
BOLD:AAA0013,11,,,
BOLD:AAA0014,1,,,
BOLD:AAA0015,3,,,
BOLD:AAA0019,5,,,
BOLD:AAA0022,2,,,
BOLD:AAA0024,3,,,
BOLD:AAA0028,1,,,
BOLD:AAA0029,1,,,
BOLD:AAA0030,1,,,
BOLD:AAA0036,6,,,
BOLD:AAA0038,1,,,
BOLD:AAA0039,4,,,
BOLD:AAA0046,25,,,
BOLD:AAA0049,8,,,
BOLD:AAA0051,1,,,
BOLD:AAA0054,46,,,
BOLD:AAA0062,9,,,
BOLD:AAA0069,4,,,
BOLD:AAA0074,4,,,
BOLD:AAA0077,1,,,
BOLD:AAA0082,1,,,
BOLD:AAA0083,2,,,
BOLD:AAA0084,3,,,
BOLD:AAA0088,5,,,
BOLD:AAA0092,14,,,
BOLD:AAA0094,14,,,
BOLD:AAA0099,3,,,
BOLD:AAA0102,98,,,
BOLD:AAA0104,4,,,
BOLD:AAA0110,1,,,
BOLD:AAA0118,1,,,
BOLD:AAA0123,6,,,
BOLD:AAA0126,25,,,
BOLD:AAA0138,1,,,
BOLD:AAA0139,1,,,
BOLD:AAA0144,1,,,
BOLD:AAA0146,2,,,
BOLD:AAA0147,5,,,
BOLD:AAA0151,20,,,
BOLD:AAA0155,2,,,
BOLD:AAA0158,8,,,
BOLD:AAA0161,1,,,
BOLD:AAA0168,5,,,
BOLD:AAA0169,1,,,
BOLD:AAA0172,15,,,
BOLD:AAA0173,1,,,
BOLD:AAA0176,18,,,
BOLD:AAA0177,7,,,
BOLD:AAA0178,6459,,,
BOLD:AAA0180,1,,,
BOLD:AAA0188,2,,,
BOLD:AAA0196,7,,,
BOLD:AAA0200,1,,,
BOLD:AAA0202,21,,,
BOLD:AAA0204,8,,,
BOLD:AAA0206,2,,,
BOLD:AAA0209,7,,,
BOLD:AAA0212,15,,,
BOLD:AAA0214,1,,,
BOLD:AAA0216,23,,,
BOLD:AAA0221,2,,,
BOLD:AAA0222,3,,,
BOLD:AAA0223,1,,,
BOLD:AAA0225,2,,,
BOLD:AAA0228,99,,,
BOLD:AAA0234,1,,,
BOLD:AAA0237,2,,,
BOLD:AAA0238,135,,,
BOLD:AAA0242,11,,,
BOLD:AAA0244,1,,,
BOLD:AAA0253,2,,,
BOLD:AAA0257,1,,,
BOLD:AAA0259,6,,,
BOLD:AAA0262,8,,,
BOLD:AAA0264,2,,,
BOLD:AAA0289,116,,,
BOLD:AAA0293,1,,,
BOLD:AAA0300,1,,,
BOLD:AAA0304,3,,,
BOLD:AAA0314,1,,,
BOLD:AAA0318,2,,,
BOLD:AAA0322,5,,,
BOLD:AAA0323,2,,,
BOLD:AAA0324,2,,,
BOLD:AAA0334,4,,,
BOLD:AAA0336,24,,,
BOLD:AAA0344,2,,,
BOLD:AAA0357,1,,,
BOLD:AAA0359,8,,,
BOLD:AAA0371,2,,,
BOLD:AAA0372,2,,,
BOLD:AAA0375,1,,,
BOLD:AAA0378,1,,,
BOLD:AAA0381,4,,,
BOLD:AAA0383,7,,,
BOLD:AAA0405,1,,,
BOLD:AAA0406,1,,,
BOLD:AAA0413,2,,,
BOLD:AAA0419,1,,,
BOLD:AAA0427,3,,,
BOLD:AAA0431,3,,,
BOLD:AAA0433,2,,,
BOLD:AAA0435,1,,,
BOLD:AAA0439,1,,,
BOLD:AAA0441,3,,,
BOLD:AAA0450,1,,,
BOLD:AAA0460,2,,,
BOLD:AAA0461,2,,,
BOLD:AAA0474,1,,,
BOLD:AAA0478,3,,,
BOLD:AAA0479,18,,,
BOLD:AAA0509,1,,,
BOLD:AAA0510,75,,,
BOLD:AAA0514,2,,,
BOLD:AAA0517,4,,,
BOLD:AAA0522,1,,,
BOLD:AAA0531,1,,,
BOLD:AAA0539,2,,,
BOLD:AAA0541,1,,,
BOLD:AAA0544,1,,,
BOLD:AAA0556,1,,,
BOLD:AAA0571,1,,,
BOLD:AAA0590,1,,,
BOLD:AAA0594,2,,,
BOLD:AAA0598,2,,,
BOLD:AAA0599,1,,,
BOLD:AAA0610,2,,,
BOLD:AAA0614,15,,,
BOLD:AAA0617,1,,,
BOLD:AAA0620,1,,,
BOLD:AAA0626,57,,,
BOLD:AAA0638,1,,,
BOLD:AAA0644,34,,,
BOLD:AAA0646,1,,,
BOLD:AAA0647,12,,,
BOLD:AAA0658,3,,,
BOLD:AAA0667,16,,,
BOLD:AAA0668,2,,,
BOLD:AAA0673,2,,,
BOLD:AAA0675,2,,,
BOLD:AAA0676,3,,,
BOLD:AAA0679,1,,,
BOLD:AAA0682,1,,,
BOLD:AAA0684,19,,,
BOLD:AAA0686,10,,,
BOLD:AAA0687,105,,,
BOLD:AAA0689,15,,,
BOLD:AAA0690,164,,,
BOLD:AAA0691,48,,,
BOLD:AAA0692,93,,,
BOLD:AAA0694,1,,,
BOLD:AAA0696,4,,,
BOLD:AAA0698,1,,,
BOLD:AAA0700,1,,,
BOLD:AAA0702,11,,,
BOLD:AAA0705,2,,,
BOLD:AAA0706,2,,,
BOLD:AAA0712,4,,,
BOLD:AAA0713,4,,,
BOLD:AAA0714,9,,,
BOLD:AAA0717,1,,,
BOLD:AAA0719,3,,,
BOLD:AAA0720,5,,,
BOLD:AAA0724,1,,,
BOLD:AAA0727,1,,,
BOLD:AAA0731,3,,,
BOLD:AAA0734,6,,,
BOLD:AAA0736,2,,,
BOLD:AAA0744,3,,,
BOLD:AAA0751,1,,,
BOLD:AAA0754,2,,,
BOLD:AAA0759,27,,,
BOLD:AAA0760,3,,,
BOLD:AAA0768,1,,,
BOLD:AAA0769,1,,,
BOLD:AAA0775,1,,,
BOLD:AAA0776,2,,,
BOLD:AAA0781,1,,,
BOLD:AAA0782,18,,,
BOLD:AAA0783,4,,,
BOLD:AAA0790,1,,,
BOLD:AAA0798,1,,,
BOLD:AAA0801,1,,,
BOLD:AAA0809,1,,,
BOLD:AAA0810,5,,,
BOLD:AAA0812,1,,,
BOLD:AAA0827,1,,,
BOLD:AAA0829,1,,,
BOLD:AAA0830,2,,,
BOLD:AAA0831,2,,,
BOLD:AAA0838,1,,,
BOLD:AAA0839,1,,,
BOLD:AAA0840,5,,,
BOLD:AAA0845,3,,,
BOLD:AAA0853,2,,,
BOLD:AAA0866,95,,,
BOLD:AAA0868,1,,,
BOLD:AAA0875,9,,,
BOLD:AAA0876,10,,,
BOLD:AAA0881,3,,,
BOLD:AAA0882,1,,,
BOLD:AAA0883,14,,,
BOLD:AAA0888,3,,,
BOLD:AAA0889,2,,,
BOLD:AAA0892,509,,,
BOLD:AAA0893,4,,,
BOLD:AAA0894,6,,,
BOLD:AAA0896,17,,,
BOLD:AAA0899,2,,,
BOLD:AAA0900,7,,,
BOLD:AAA0903,1,,,
BOLD:AAA0908,1,,,
BOLD:AAA0911,1,,,
BOLD:AAA0912,8,,,
BOLD:AAA0917,3,,,
BOLD:AAA0918,5,,,
BOLD:AAA0919,20,,,
BOLD:AAA0921,14,,,
BOLD:AAA0924,3,,,
BOLD:AAA0929,13,,,
BOLD:AAA0930,4,,,
BOLD:AAA0931,1,,,
BOLD:AAA0932,12,,,
BOLD:AAA0933,2,,,
BOLD:AAA0935,2,,,
BOLD:AAA0936,20,,,
BOLD:AAA0937,30,,,
BOLD:AAA0939,1,,,
BOLD:AAA0940,2,,,
BOLD:AAA0941,10,,,
BOLD:AAA0942,11,,,
BOLD:AAA0943,12,,,
BOLD:AAA0944,8,,,
BOLD:AAA0945,13,,,
BOLD:AAA0946,49,,,
BOLD:AAA0948,23,,,
BOLD:AAA0949,19,,,
BOLD:AAA0950,5,,,
BOLD:AAA0951,3,,,
BOLD:AAA0953,35,,,
BOLD:AAA0954,46,,,
BOLD:AAA0955,1,,,
BOLD:AAA0956,7,,,
BOLD:AAA0957,11,,,
BOLD:AAA0959,1,,,
BOLD:AAA0960,34,,,
BOLD:AAA0963,1,,,
BOLD:AAA0968,9,,,
BOLD:AAA0974,1,,,
BOLD:AAA0977,1,,,
BOLD:AAA0988,2412,,,
BOLD:AAA0989,2,,,
BOLD:AAA0997,89,,,
BOLD:AAA1000,173,,,
BOLD:AAA1002,7,,,
BOLD:AAA1007,3,,,
BOLD:AAA1027,80,,,
BOLD:AAA1028,33,,,
BOLD:AAA1029,34,,,
BOLD:AAA1033,124,,,
BOLD:AAA1034,1,,,
BOLD:AAA1041,8,,,
BOLD:AAA1044,63,,,
BOLD:AAA1045,1,,,
BOLD:AAA1048,140,,,
BOLD:AAA1049,27,,,
BOLD:AAA1051,1620,,,
BOLD:AAA1052,19,,,
BOLD:AAA1053,2,,,
BOLD:AAA1055,15,,,
BOLD:AAA1056,1,,,
BOLD:AAA1058,104,,,
BOLD:AAA1059,4,,,
BOLD:AAA1060,131,,,
BOLD:AAA1062,20,,,
BOLD:AAA1063,2,,,
BOLD:AAA1065,41,,,
BOLD:AAA1072,3,,,
BOLD:AAA1079,8,,,
BOLD:AAA1082,2,,,
BOLD:AAA1094,1,,,
BOLD:AAA1097,3,,,
BOLD:AAA1098,8,,,
BOLD:AAA1101,6,,,
BOLD:AAA1102,3,,,
BOLD:AAA1106,7,,,
BOLD:AAA1107,1,,,
BOLD:AAA1111,4,,,
BOLD:AAA1115,1,,,
BOLD:AAA1117,27,,,
BOLD:AAA1123,36,,,
BOLD:AAA1124,11,,,
BOLD:AAA1129,1265,,,
BOLD:AAA1130,5,,,
BOLD:AAA1133,15,,,
BOLD:AAA1135,5,,,
BOLD:AAA1139,36,,,
BOLD:AAA1140,4,,,
BOLD:AAA1142,1,,,
BOLD:AAA1147,2,,,
BOLD:AAA1148,23,,,
BOLD:AAA1149,1,,,
BOLD:AAA1150,2,,,
BOLD:AAA1151,175,,,
BOLD:AAA1153,191,,,
BOLD:AAA1155,1,,,
BOLD:AAA1157,1,,,
BOLD:AAA1166,10,,,
BOLD:AAA1177,3,,,
BOLD:AAA1179,2,,,
BOLD:AAA1184,4,,,
BOLD:AAA1192,2,,,
BOLD:AAA1203,13,,,
BOLD:AAA1204,3,,,
BOLD:AAA1222,1,,,
BOLD:AAA1223,32,,,
BOLD:AAA1265,13,,,
BOLD:AAA1299,12,,,
BOLD:AAA1306,4,,,
BOLD:AAA1307,6,,,
BOLD:AAA1308,143,,,
BOLD:AAA1313,7,,,
BOLD:AAA1314,7,,,
BOLD:AAA1316,2,,,
BOLD:AAA1326,1,,,
BOLD:AAA1327,2,,,
BOLD:AAA1328,15,,,
BOLD:AAA1329,7,,,
BOLD:AAA1330,3,,,
BOLD:AAA1334,8,,,
BOLD:AAA1335,1,,,
BOLD:AAA1339,3,,,
BOLD:AAA1342,3,,,
BOLD:AAA1349,1,,,
BOLD:AAA1351,4,,,
BOLD:AAA1353,1,,,
BOLD:AAA1357,1,,,
BOLD:AAA1361,1,,,
BOLD:AAA1363,1,,,
BOLD:AAA1374,4,,,
BOLD:AAA1375,6,,,
BOLD:AAA1376,3,,,
BOLD:AAA1377,3,,,
BOLD:AAA1379,5,,,
BOLD:AAA1382,6,,,
BOLD:AAA1387,2,,,
BOLD:AAA1396,11,,,
BOLD:AAA1413,5,,,
BOLD:AAA1414,5,,,
BOLD:AAA1415,3,,,
BOLD:AAA1418,10,,,
BOLD:AAA1419,52,,,
BOLD:AAA1420,9,,,
BOLD:AAA1421,20,,,
BOLD:AAA1422,2,,,
BOLD:AAA1423,152,,,
BOLD:AAA1424,4,,,
BOLD:AAA1425,16,,,
BOLD:AAA1427,3,,,
BOLD:AAA1432,1,,,
BOLD:AAA1438,13,,,
BOLD:AAA1443,1,,,
BOLD:AAA1450,10,,,
BOLD:AAA1452,11,,,
BOLD:AAA1459,18,,,
BOLD:AAA1468,1,,,
BOLD:AAA1489,1,,,
BOLD:AAA1493,2,,,
BOLD:AAA1494,32,,,
BOLD:AAA1497,1,,,
BOLD:AAA1508,1,,,
BOLD:AAA1577,6,,,
BOLD:AAA1578,6,,,
BOLD:AAA1580,3,,,
BOLD:AAA1634,4,,,
BOLD:AAA1638,2,,,
BOLD:AAA1676,3,,,
BOLD:AAA1701,7,,,
BOLD:AAA1752,1,,,
BOLD:AAA1765,5,,,
BOLD:AAA1769,1,,,
BOLD:AAA1775,1,,,
BOLD:AAA1789,115,,,
BOLD:AAA1796,10,,,
BOLD:AAA1801,4,,,
BOLD:AAA1802,31,,,
BOLD:AAA1809,22,,,
BOLD:AAA1812,6,,,
BOLD:AAA1827,4,,,
BOLD:AAA1831,8,,,
BOLD:AAA1835,6,,,
BOLD:AAA1871,6,,,
BOLD:AAA1877,2,,,
BOLD:AAA1881,8,,,
BOLD:AAA1883,1,,,
BOLD:AAA1885,1,,,
BOLD:AAA1886,1,,,
BOLD:AAA1887,1,,,
BOLD:AAA1892,1,,,
BOLD:AAA1893,1,,,
BOLD:AAA1894,3,,,
BOLD:AAA1896,23,,,
BOLD:AAA1909,20,,,
BOLD:AAA1944,3,,,
BOLD:AAA1945,1,,,
BOLD:AAA1952,5,,,
BOLD:AAA1953,5,,,
BOLD:AAA1955,3,,,
BOLD:AAA1957,7,,,
BOLD:AAA1959,2,,,
BOLD:AAA1960,1,,,
BOLD:AAA1962,251,,,
BOLD:AAA1963,3,,,
BOLD:AAA1964,1,,,
BOLD:AAA1966,1,,,
BOLD:AAA2027,2,,,
BOLD:AAA2029,5,,,
BOLD:AAA2070,1,,,
BOLD:AAA2227,2,,,
BOLD:AAA2231,23,,,
BOLD:AAA2280,1,,,
BOLD:AAA2281,1,,,
BOLD:AAA2284,1,,,
BOLD:AAA2286,1,,,
BOLD:AAA2287,79,,,
BOLD:AAA2291,9,,,
BOLD:AAA2292,7,,,
BOLD:AAA2298,1,,,
BOLD:AAA2299,1,,,
BOLD:AAA2326,40,,,
BOLD:AAA2365,4,,,
BOLD:AAA2438,46,,,
BOLD:AAA2445,3,,,
BOLD:AAA2453,3,,,
BOLD:AAA2482,1,,,
BOLD:AAA2510,3,,,
BOLD:AAA2520,7,,,
BOLD:AAA2532,1,,,
BOLD:AAA2533,9,,,
BOLD:AAA2539,6,,,
BOLD:AAA2542,1,,,
BOLD:AAA2543,4,,,
BOLD:AAA2546,1,,,
BOLD:AAA2569,39,,,
BOLD:AAA2584,4,,,
BOLD:AAA2585,10,,,
BOLD:AAA2592,1,,,
BOLD:AAA2595,1,,,
BOLD:AAA2692,1,,,
BOLD:AAA2701,5,,,
BOLD:AAA2708,8,,,
BOLD:AAA2711,1,,,
BOLD:AAA2786,1,,,
BOLD:AAA2794,19,,,
BOLD:AAA2814,16,,,
BOLD:AAA2816,9,,,
BOLD:AAA2824,17,,,
BOLD:AAA2825,1,,,
BOLD:AAA2828,2,,,
BOLD:AAA2829,2,,,
BOLD:AAA2833,4,,,
BOLD:AAA2835,8,,,
BOLD:AAA2836,1,,,
BOLD:AAA2839,2,,,
BOLD:AAA2840,15,,,
BOLD:AAA2842,9,,,
BOLD:AAA2849,113,,,
BOLD:AAA2873,2,,,
BOLD:AAA2875,2,,,
BOLD:AAA2881,11,,,
BOLD:AAA2882,16,,,
BOLD:AAA2887,2,,,
BOLD:AAA2888,1,,,
BOLD:AAA2893,1,,,
BOLD:AAA2896,19,,,
BOLD:AAA2898,3,,,
BOLD:AAA2904,1,,,
BOLD:AAA2906,69,,,
BOLD:AAA2908,2,,,
BOLD:AAA2909,15,,,
BOLD:AAA2912,1,,,
BOLD:AAA2918,1,,,
BOLD:AAA2921,1,,,
BOLD:AAA2925,1,,,
BOLD:AAA2928,1,,,
BOLD:AAA2929,1,,,
BOLD:AAA2930,1,,,
BOLD:AAA2931,2,,,
BOLD:AAA2932,1,,,
BOLD:AAA2934,2,,,
BOLD:AAA2937,3,,,
BOLD:AAA2939,1,,,
BOLD:AAA2941,2,,,
BOLD:AAA2944,14,,,
BOLD:AAA2958,5,,,
BOLD:AAA3052,9,,,
BOLD:AAA3070,8,,,
BOLD:AAA3077,34,,,
BOLD:AAA3088,1,,,
BOLD:AAA3118,5,,,
BOLD:AAA3121,33,,,
BOLD:AAA3122,21,,,
BOLD:AAA3123,126,,,
BOLD:AAA3126,1,,,
BOLD:AAA3129,3,,,
BOLD:AAA3134,3,,,
BOLD:AAA3136,54,,,
BOLD:AAA3137,4,,,
BOLD:AAA3179,10,,,
BOLD:AAA3202,53,,,
BOLD:AAA3203,1,,,
BOLD:AAA3205,72,,,
BOLD:AAA3206,3,,,
BOLD:AAA3207,27,,,
BOLD:AAA3208,52,,,
BOLD:AAA3209,14,,,
BOLD:AAA3210,16,,,
BOLD:AAA3213,114,,,
BOLD:AAA3214,70,,,
BOLD:AAA3215,2,,,
BOLD:AAA3216,5,,,
BOLD:AAA3217,15,,,
BOLD:AAA3221,11,,,
BOLD:AAA3222,1,,,
BOLD:AAA3282,1,,,
BOLD:AAA3286,6,,,
BOLD:AAA3288,1,,,
BOLD:AAA3300,16,,,
BOLD:AAA3313,53,,,
BOLD:AAA3356,3,,,
BOLD:AAA3393,1,,,
BOLD:AAA3403,1,,,
BOLD:AAA3448,1,,,
BOLD:AAA3449,4,,,
BOLD:AAA3453,1,,,
BOLD:AAA3461,124,,,
BOLD:AAA3462,52,,,
BOLD:AAA3467,1,,,
BOLD:AAA3475,22,,,
BOLD:AAA3477,80,,,
BOLD:AAA3479,11,,,
BOLD:AAA3488,2,,,
BOLD:AAA3498,5,,,
BOLD:AAA3543,11,,,
BOLD:AAA3545,21,,,
BOLD:AAA3578,26,,,
BOLD:AAA3585,1,,,
BOLD:AAA3605,1,,,
BOLD:AAA3609,1,,,
BOLD:AAA3625,2,,,
BOLD:AAA3627,3,,,
BOLD:AAA3663,1,,,
BOLD:AAA3750,1,,,
BOLD:AAA3758,2,,,
BOLD:AAA3763,2,,,
BOLD:AAA3842,1724,,,
BOLD:AAA3868,89,,,
BOLD:AAA3875,117,,,
BOLD:AAA3876,9,,,
BOLD:AAA3919,1,,,
BOLD:AAA3932,8,,,
BOLD:AAA3934,209,,,
BOLD:AAA3944,1,,,
BOLD:AAA3982,13,,,
BOLD:AAA4011,17,,,
BOLD:AAA4015,1,,,
BOLD:AAA4019,2,,,
BOLD:AAA4027,2,,,
BOLD:AAA4029,28,,,
BOLD:AAA4030,18,,,
BOLD:AAA4031,5,,,
BOLD:AAA4032,2,,,
BOLD:AAA4036,1,,,
BOLD:AAA4045,15,,,
BOLD:AAA4051,10,,,
BOLD:AAA4059,6,,,
BOLD:AAA4172,10,,,
BOLD:AAA4173,5,,,
BOLD:AAA4181,15,,,
BOLD:AAA4183,5,,,
BOLD:AAA4190,3,,,
BOLD:AAA4232,2,,,
BOLD:AAA4235,4,,,
BOLD:AAA4242,1,,,
BOLD:AAA4263,3,,,
BOLD:AAA4300,5,,,
BOLD:AAA4308,14,,,
BOLD:AAA4319,1,,,
BOLD:AAA4337,7,,,
BOLD:AAA4389,28,,,
BOLD:AAA4409,2,,,
BOLD:AAA4410,2,,,
BOLD:AAA4440,1,,,
BOLD:AAA4441,1,,,
BOLD:AAA4443,16,,,
BOLD:AAA4444,6,,,
BOLD:AAA4457,2,,,
BOLD:AAA4470,15,,,
BOLD:AAA4476,5,,,
BOLD:AAA4495,236,,,
BOLD:AAA4514,1,,,
BOLD:AAA4532,55,,,
BOLD:AAA4534,2,,,
BOLD:AAA4554,208,,,
BOLD:AAA4564,1,,,
BOLD:AAA4572,56,,,
BOLD:AAA4575,1,,,
BOLD:AAA4578,4,,,
BOLD:AAA4583,1,,,
BOLD:AAA4584,4,,,
BOLD:AAA4587,5,,,
BOLD:AAA4603,3,,,
BOLD:AAA4625,15,,,
BOLD:AAA4636,4,,,
BOLD:AAA4641,1,,,
BOLD:AAA4646,1,,,
BOLD:AAA4648,1,,,
BOLD:AAA4676,6,,,
BOLD:AAA4698,14,,,
BOLD:AAA4721,1,,,
BOLD:AAA4727,6,,,
BOLD:AAA4728,4,,,
BOLD:AAA4745,13,,,
BOLD:AAA4766,3,,,
BOLD:AAA4772,35,,,
BOLD:AAA4773,3,,,
