"sampleid","processid","fieldid","phylum","class","order","family","subfamily","genus","species","uri","extrainfo","lat","long","collectiondate","fk_marker","nucraw_length","code"
"DHJPAR0045501","ACGAZ1042-11","11-SRNP-32264","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles Whitfield54","BOLD:ABY9810","Pyrinia itunaria",10.9871,-85.4282,"2011-08-23","1",658,"ACGAZ"
"DHJPAR0045507","ACGAZ1048-11","11-SRNP-2236","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Hypomicrogaster","Hypomicrogaster Janzen39","BOLD:AAT9681","Syllepte Solis22",10.86472,-85.41531,"2011-06-27","1",658,"ACGAZ"
"DHJPAR0049768","ACGAZ1082-12","12-SRNP-30984","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles brianestjaquesae","BOLD:ABZ2095","Drugera morona",10.9928,-85.4294,"2012-07-07","1",658,"ACGAZ"
"DHJPAR0049769","ACGAZ1083-12","12-SRNP-71248","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles cinthiabarrantesae","BOLD:AAC2164","Ategumia lotanalisDHJ09",10.9867,-85.385,"2012-06-25","1",658,"ACGAZ"
"DHJPAR0049770","ACGAZ1084-12","12-SRNP-71419","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Cotesia","Cotesia Whitfield6803","BOLD:AAA7143","Olceclostera avangareza",11.016,-85.3805,"2012-07-04","1",658,"ACGAZ"
"DHJPAR0049771","ACGAZ1085-12","12-SRNP-71119","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Cotesia","Cotesia Whitfield24","BOLD:AAA7143","Automeris belti",10.9867,-85.385,"2012-06-21","1",658,"ACGAZ"
"DHJPAR0049772","ACGAZ1086-12","12-SRNP-71350","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles javiercontrerasi","BOLD:ACF1627","Ategumia matutinalisDHJ03",11.016,-85.3805,"2012-07-03","1",658,"ACGAZ"
"DHJPAR0049773","ACGAZ1087-12","12-SRNP-71288","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles Janzen23","BOLD:ABZ7193","Antiblemma Poole12",11.0099,-85.3921,"2012-07-03","1",658,"ACGAZ"
"DHJPAR0049774","ACGAZ1088-12","12-SRNP-44000","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi09","BOLD:AAB4485","Pantographa expansalis",10.9066,-85.2878,"2012-08-24","1",658,"ACGAZ"
"DHJPAR0049775","ACGAZ1089-12","12-SRNP-71124","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Cotesia","Cotesia Whitfield24","BOLD:AAA7143","Automeris belti",10.9867,-85.385,"2012-06-15","1",658,"ACGAZ"
"DHJPAR0049776","ACGAZ1090-12","12-SRNP-44413","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea Janzen11","BOLD:ABX6008","siculoJanzen01 biolep03",10.9019,-85.2749,"2012-08-24","1",658,"ACGAZ"
"DHJPAR0049777","ACGAZ1091-12","12-SRNP-44412","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea Janzen11","BOLD:ABX6008","siculoJanzen01 biolep03",10.9019,-85.2749,"2012-08-24","1",658,"ACGAZ"
"DHJPAR0049778","ACGAZ1092-12","12-SRNP-71123","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Cotesia","Cotesia Whitfield24","BOLD:AAA7143","Automeris belti",10.9867,-85.385,"2012-06-21","1",658,"ACGAZ"
"DHJPAR0049780","ACGAZ1094-12","12-SRNP-43890","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi313","BOLD:AEW9677","Microthyris prolongalisDHJ02",10.9009,-85.2891,"2012-08-13","1",658,"ACGAZ"
"DHJPAR0049782","ACGAZ1096-12","12-SRNP-44133","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Pseudapanteles","Pseudapanteles jorgerodriguezi","BOLD:ABY7235","Noctuana stator",10.9009,-85.2891,"2012-08-15","1",658,"ACGAZ"
"DHJPAR0049783","ACGAZ1097-12","12-SRNP-71117","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Cotesia","Cotesia Whitfield24","BOLD:AAA7143","Automeris belti",10.9867,-85.385,"2012-06-23","1",553,"ACGAZ"
