"lat","long","trap"
10.93328,-85.45729,"peripheral"
10.83764,-85.61871,"peripheral"
10.80396,-85.32524,"peripheral"
10.90037,-85.37254,"peripheral"
10.88023,-85.3889,"peripheral"
10.8930856,-85.3794057,"peripheral"
10.92767,-85.47449,"peripheral"
10.92471,-85.46738,"peripheral"
10.88919,-85.47609,"peripheral"
10.90475,-85.46803,"peripheral"
10.92,-85.72,"peripheral"
10.77997,-85.66284,"peripheral"
10.7715,-85.3601111,"peripheral"
10.7577778,-85.3753889,"peripheral"
10.83687,-85.61931,"peripheral"
10.8438,-85.6138,"core"
10.88009,-85.38887,"core"
10.763,-85.334,"core"
10.88,-85.389,"core"
10.8801,-85.389,"core"
10.8801,-85.3889,"core"
10.92918,-85.46426,"core"
10.9292,-85.4643,"core"
10.929,-85.464,"core"
10.844,-85.614,"core"
10.764,-85.335,"core"
10.761,-85.335,"core"
10.76,-85.334,"core"
10.764,-85.333,"core"
10.763,-85.335,"core"
