"lat","long"
10.9871,-85.4282
10.86472,-85.41531
10.9928,-85.4294
10.9867,-85.385
11.016,-85.3805
11.0099,-85.3921
10.9066,-85.2878
10.9019,-85.2749
10.9009,-85.2891
10.8968,-85.27
10.8962,-85.2777
10.9305,-85.3722
10.9053,-85.2788
10.9061,-85.2828
10.9868,-85.4208
10.8967,-85.29
10.8993,-85.2749
10.9004,-85.3725
10.8043,-85.6829
10.9301,-85.2521
11.0123,-85.3493
10.9043,-85.2865
10.8439,-85.6138
11.0193,-85.41
10.944,-85.3174
10.9408,-85.3177
10.76737,-85.43313
10.9355,-85.2531
10.9845,-85.4248
10.8774,-85.3236
10.9619,-85.2804
10.9817,-85.4278
10.991,-85.3954
10.8794,-85.3861
10.8777,-85.3934
10.9876,-85.4197
10.8712,-85.3875
10.9185,-85.3034
11.0183,-85.372
10.9555,-85.2838
10.77175,-85.434
10.9934,-85.4027
10.9043,-85.3073
10.9695,-85.3826
10.9474,-85.315
10.9888,-85.4234
10.9304,-85.2568
10.9229,-85.3188
11.0162,-85.359
10.75876,-85.37543
10.893,-85.3788
10.9833,-85.4362
10.9959,-85.3984
10.9857,-85.4187
10.8674,-85.3874
10.8607,-85.4256
10.8787,-85.3896
10.9333,-85.2533
10.9909,-85.4054
10.9893,-85.4258
11.0135,-85.4241
10.9945,-85.4146
11.0031,-85.4204
10.8489,-85.3281
11.0182,-85.4502
10.8376,-85.6187
NA,NA
11.002,-85.4617
10.7707,-85.4287
10.7626,-85.4298
10.7718,-85.434
11.0268,-85.4955
11.0338,-85.4771
11.0323,-85.5278
10.9938,-85.5211
11.0237,-85.4188
10.9964,-85.4019
10.7631,-85.4133
11.0153,-85.3977
10.9159,-85.2663
10.9038,-85.2596
10.9042,-85.2712
10.9227,-85.4641
10.9271,-85.4668
10.88367,-85.29081
10.7722,-85.4122
10.8588,-85.6612
10.7674,-85.4331
11.0303,-85.5478
10.7648,-85.3845
10.9426,-85.3133
10.90093,-85.28915
10.9163,-85.37869
10.93038,-85.25682
10.76261,-85.42979
11.00494,-85.47491
10.93548,-85.25314
10.96536,-85.32386
10.77329,-85.37904
10.97073,-85.31434
10.90037,-85.37254
11.01355,-85.42406
10.9959,-85.39842
11.01602,-85.38053
10.96891,-85.3202
10.94741,-85.31501
10.9301,-85.25205
10.93332,-85.25331
10.91847,-85.30338
10.90445,-85.28412
10.9305,-85.37223
10.90528,-85.27882
11.01087,-85.48817
10.9555,-85.28381
10.73148,-85.33675
10.88186,-85.38221
10.87161,-85.39333
10.87766,-85.39343
10.75722,-85.33582
11.01926,-85.40997
11.02367,-85.41884
10.95813,-85.28416
11.01825,-85.37199
10.76307,-85.41332
10.89928,-85.27486
10.90661,-85.28784
10.8794,-85.38607
10.96187,-85.28045
10.98171,-85.42785
10.77119,-85.36073
