"","sampleid","processid","fieldid","phylum","class","order","family","subfamily","genus","species","uri","extrainfo","lat","long","collectiondate","fk_marker","nucraw_length","code"
"1","DHJPAR0045881","ACGBA046-12","09-SRNP-80912","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Venanus","Venanus johnnyrosalesi","BOLD:AAB9613","malaise-trapped",10.9333,-85.4573,"2009-01-26","1",658,"ACGBA"
"2","DHJPAR0045900","ACGBA065-12","09-SRNP-80931","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles bobkulai","BOLD:ACE8721","malaise-trapped",10.9333,-85.4573,"2009-04-20","1",658,"ACGBA"
"3","DHJPAR0045905","ACGBA070-12","09-SRNP-80936","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Parapanteles","Parapanteles tlineaDHJ02","BOLD:AAD4646","malaise-trapped",10.9333,-85.4573,"2009-05-25","1",658,"ACGBA"
"4","DHJPAR0045959","ACGBA124-12","08-SRNP-76400","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles juliodiazi","BOLD:AAE6814","malaise-trapped",10.9333,-85.4573,"2008-10-20","1",614,"ACGBA"
"5","DHJPAR0046031","ACGBA196-12","09-SRNP-80965","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea Janzen28","BOLD:AAE8596","malaise-trapped",10.9333,-85.4573,"2009-04-13","1",658,"ACGBA"
"6","DHJPAR0012494","ASBD001-07","98-SRNP-16001","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles raulacevedoi","BOLD:ABX5812","malaise-trapped",11.03,-85.527,"1998-08-17","1",657,"ASMGJ"
"7","DHJPAR0012495","ASBD002-07","99-SRNP-18854","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles eduardoramirezi","BOLD:AAA4554","malaise-trapped",11.03,-85.527,"1999-05-10","1",657,"ASMGJ"
"8","DHJPAR0012497","ASBD004-07","98-SRNP-16002","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles rolandoramosi","BOLD:AAE6776","malaise-trapped",11.03,-85.527,"1998-12-14","1",657,"ASMGJ"
"9","DHJPAR0012498","ASBD005-07","98-SRNP-16003","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles bernyapui","BOLD:AAB7636","malaise-trapped",11.03,-85.527,"1998-10-14","1",657,"ASMGJ"
"10","DHJPAR0012499","ASBD006-07","98-SRNP-16004","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles alejandromasisi","BOLD:AAK1575","malaise-trapped",11.03,-85.527,"1998-10-14","1",657,"ASMGJ"
"11","DHJPAR0012506","ASBD013-07","98-SRNP-16010","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles albanjimenezi","BOLD:AAK1566","malaise-trapped",10.9333,-85.4573,"1998-12-28","1",657,"ASMGJ"
"12","DHJPAR0012508","ASBD015-07","99-SRNP-18858","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Parapanteles","Parapanteles Whitfield304","BOLD:AAK1564","malaise-trapped",11.03,-85.527,"1999-05-17","1",657,"ASMGJ"
"13","DHJPAR0012512","ASBD019-07","06-SRNP-98014","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles Rodriguez127","BOLD:AAK1559","malaise-trapped",10.8153,-85.5436,"2007-01-10","1",657,"ASMGJ"
"14","DHJPAR0012513","ASBD020-07","06-SRNP-98015","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles Rodriguez138","BOLD:AAK1572","malaise-trapped",10.8153,-85.5436,"2007-01-10","1",657,"ASMGJ"
"15","DHJPAR0012516","ASBD023-07","99-SRNP-18863","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Clarkinella","Clarkinella Rodriguez125","BOLD:AAK1540","malaise-trapped",11.03,-85.527,"1999-03-01","1",657,"ASMGJ"
"16","DHJPAR0012517","ASBD024-07","99-SRNP-18864","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea Rodriguez145","BOLD:AAB9372","malaise-trapped",11.03,-85.527,"1999-05-31","1",657,"ASMGJ"
"17","DHJPAR0012519","ASBD026-07","99-SRNP-18865","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea Rodriguez144","BOLD:AAD2236","malaise-trapped",11.03,-85.527,"1999-05-24","1",657,"ASMGJ"
"18","DHJPAR0012520","ASBD027-07","99-SRNP-18866","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Hypomicrogaster","Hypomicrogaster samarshalli","BOLD:AAF7670","malaise-trapped",11.03,-85.527,"1999-05-31","1",581,"ASMGJ"
"19","DHJPAR0012524","ASBD031-07","99-SRNP-18870","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles oscarchavezi","BOLD:AAN7915","malaise-trapped",11.03,-85.527,"1999-05-03","1",657,"ASMGJ"
"20","DHJPAR0012531","ASBD038-07","99-SRNP-18877","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles lisabearssae","BOLD:AAC2117","malaise-trapped",11.03,-85.527,"1999-05-03","1",657,"ASMGJ"
"21","DHJPAR0012535","ASBD042-07","98-SRNP-16011","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles Whitfield279","BOLD:AAD2307","malaise-trapped",10.9333,-85.4573,"1998-12-07","1",657,"ASMGJ"
"22","DHJPAR0012537","ASBD044-07","98-SRNP-16012","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles mariaguevarae","BOLD:AAJ1368","malaise-trapped",10.8439,-85.6138,"1998-12-07","1",657,"ASMGJ"
"23","DHJPAR0012541","ASBD048-07","99-SRNP-18885","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles Rodriguez143","BOLD:AAK1562","malaise-trapped",11.03,-85.527,"1999-02-08","1",657,"ASMGJ"
"24","DHJPAR0012544","ASBD051-07","98-SRNP-16014","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea Janzen30","BOLD:ABX5195","malaise-trapped",11.03,-85.527,"1998-08-17","1",632,"ASMGJ"
"25","DHJPAR0012545","ASBD052-07","98-SRNP-16015","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea Janzen29","BOLD:AAX8664","malaise-trapped",10.9333,-85.4573,"1998-10-05","1",657,"ASMGJ"
"26","DHJPAR0012546","ASBD053-07","00-SRNP-23850.1","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea Janzen25","BOLD:ABY7999","malaise-trapped",10.9333,-85.4573,"2000-05-22","1",657,"ASMGJ"
"27","DHJPAR0012551","ASBD058-07","00-SRNP-23851","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea Janzen0272","BOLD:ACF0272","malaise-trapped",10.9333,-85.4573,"2000-04-17","1",653,"ASMGJ"
"28","DHJPAR0012553","ASBD060-07","00-SRNP-23853","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea Janzen23","BOLD:AAB5549","malaise-trapped",10.9333,-85.4573,"2000-05-29","1",657,"ASMGJ"
"29","DHJPAR0012557","ASBD064-07","00-SRNP-23855","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea cedenoae","BOLD:ABX6267","malaise-trapped",10.9333,-85.4573,"2000-04-17","1",657,"ASMGJ"
"30","DHJPAR0012558","ASBD065-07","99-SRNP-18891","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea Janzen94","BOLD:AAE8602","malaise-trapped",11.03,-85.527,"1999-04-05","1",657,"ASMGJ"
"31","DHJPAR0012560","ASBD067-07","99-SRNP-18892","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea Janzen27","BOLD:AAI9746","malaise-trapped",11.03,-85.527,"1999-05-10","1",657,"ASMGJ"
"32","DHJPAR0012563","ASBD070-07","99-SRNP-18894","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Rhygoplitis","Rhygoplitis Whitfield01","BOLD:AAC0735","malaise-trapped",11.03,-85.527,"1999-03-01","1",657,"ASMGJ"
"33","DHJPAR0012573","ASBD080-07","06-SRNP-98016","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Pseudapanteles","Pseudapanteles rosemarykarpinskiae","BOLD:AAB2826","malaise-trapped",10.8439,-85.6138,"2007-01-10","1",656,"ASMGJ"
"34","DHJPAR0012576","ASBD083-07","99-SRNP-18904","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Pseudapanteles","Pseudapanteles carlosrodriguezi","BOLD:AAE8274","malaise-trapped",11.03,-85.527,"1999-05-03","1",657,"ASMGJ"
"35","DHJPAR0012577","ASBD084-07","98-SRNP-16019","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Pseudapanteles","Pseudapanteles alfiopivai","BOLD:AAF6107","malaise-trapped",11.03,-85.527,"1998-08-17","1",657,"ASMGJ"
"36","DHJPAR0012578","ASBD085-07","00-SRNP-23858","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Lathrapanteles","Lathrapanteles Whitfield02","BOLD:AAE1584","malaise-trapped",10.9333,-85.4573,"2000-05-01","1",657,"ASMGJ"
"37","DHJPAR0012579","ASBD086-07","99-SRNP-18905","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Snellenius","Snellenius gerardoherrerai","BOLD:AAD3623","malaise-trapped",11.03,-85.527,"1999-06-07","1",657,"ASMGJ"
"38","DHJPAR0012581","ASBD088-07","99-SRNP-18907","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Microplitis","Microplitis hebertbakeri","BOLD:AAC6114","malaise-trapped",11.03,-85.527,"1999-05-31","1",657,"ASMGJ"
"39","DHJPAR0012582","ASBD089-07","98-SRNP-16020","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Xanthomicrogaster","Xanthomicrogaster Malaise2270","BOLD:AAE2270","malaise-trapped",11.03,-85.527,"1998-08-31","1",657,"ASMGJ"
