BOLD code,Frequency,,,
BOLD:AAA1223,32,,,
BOLD:AAA1265,13,,,
BOLD:AAA1634,4,,,
BOLD:AAA2445,3,,,
BOLD:AAA2794,19,,,
BOLD:AAA2816,9,,,
BOLD:AAA2958,5,,,
BOLD:AAA3077,34,,,
BOLD:AAA3934,209,,,
BOLD:AAA4554,208,,,
BOLD:AAA4564,1,,,
BOLD:AAA4794,7,,,
BOLD:AAA6269,9,,,
BOLD:AAA6667,176,,,
BOLD:AAA6668,21,,,
BOLD:AAA7143,41,,,
BOLD:AAA7181,1,,,
BOLD:AAA8869,2,,,
BOLD:AAA9309,7,,,
BOLD:AAB0594,58,,,
BOLD:AAB1086,1,,,
BOLD:AAB2471,6,,,
BOLD:AAB2826,14,,,
BOLD:AAB5549,8,,,
BOLD:AAB6336,1,,,
BOLD:AAB6927,5,,,
BOLD:AAB7535,2,,,
BOLD:AAB7636,53,,,
BOLD:AAB8584,1,,,
BOLD:AAB9141,2,,,
BOLD:AAB9372,11,,,
BOLD:AAB9863,29,,,
BOLD:AAC0735,231,,,
BOLD:AAC1160,1,,,
BOLD:AAC1179,6,,,
BOLD:AAC1260,1,,,
BOLD:AAC1266,12,,,
BOLD:AAC2117,95,,,
BOLD:AAC2295,1,,,
BOLD:AAC5219,11,,,
BOLD:AAC5317,8,,,
BOLD:AAC6114,3,,,
BOLD:AAC6165,4,,,
BOLD:AAC6257,5,,,
BOLD:AAC7481,2,,,
BOLD:AAC8392,13,,,
BOLD:AAC8420,10,,,
BOLD:AAC9585,1,,,
BOLD:AAC9678,3,,,
BOLD:AAC9684,2,,,
BOLD:AAD1416,5,,,
BOLD:AAD1799,1,,,
BOLD:AAD1805,1,,,
BOLD:AAD2236,93,,,
BOLD:AAD3521,2,,,
BOLD:AAD3623,2,,,
BOLD:AAD3624,17,,,
BOLD:AAD3978,2,,,
BOLD:AAD4440,2,,,
BOLD:AAD4646,2,,,
BOLD:AAD6534,1,,,
BOLD:AAD6535,2,,,
BOLD:AAD6849,3,,,
BOLD:AAD6850,1,,,
BOLD:AAD6988,2,,,
BOLD:AAD9471,1,,,
BOLD:AAD9684,1,,,
BOLD:AAD9699,51,,,
BOLD:AAD9754,6,,,
BOLD:AAE0922,403,,,
BOLD:AAE0967,1,,,
BOLD:AAE1352,1,,,
BOLD:AAE2270,1,,,
BOLD:AAE2842,17,,,
BOLD:AAE3605,1,,,
BOLD:AAE5701,1,,,
BOLD:AAE6754,2,,,
BOLD:AAE7080,38,,,
BOLD:AAE7160,6,,,
BOLD:AAE8274,13,,,
BOLD:AAE8275,3,,,
BOLD:AAE8429,7,,,
BOLD:AAE8596,1,,,
BOLD:AAE8602,16,,,
BOLD:AAE9335,12,,,
BOLD:AAE9345,5,,,
BOLD:AAF3301,1,,,
BOLD:AAF4762,1,,,
BOLD:AAF5702,3,,,
BOLD:AAF5712,15,,,
BOLD:AAF6107,12,,,
BOLD:AAF7670,20,,,
BOLD:AAF8074,1,,,
BOLD:AAF8130,1,,,
BOLD:AAF8182,7,,,
BOLD:AAF8296,1,,,
BOLD:AAF8310,1,,,
BOLD:AAF8353,2,,,
BOLD:AAH2836,7,,,
BOLD:AAI7271,1,,,
BOLD:AAI7282,1,,,
BOLD:AAI7285,10,,,
BOLD:AAI7293,5,,,
BOLD:AAI7299,1,,,
BOLD:AAI7301,4,,,
BOLD:AAI7313,1,,,
BOLD:AAI7344,2,,,
BOLD:AAI7795,12,,,
BOLD:AAI9077,11,,,
BOLD:AAI9747,3,,,
BOLD:AAJ1367,5,,,
BOLD:AAJ1368,6,,,
BOLD:AAJ1513,2,,,
BOLD:AAJ1515,1,,,
BOLD:AAJ5618,1,,,
BOLD:AAJ5709,4,,,
BOLD:AAK0117,1,,,
BOLD:AAK1566,1,,,
BOLD:AAK1628,13,,,
BOLD:AAK1643,4,,,
BOLD:AAK1646,4,,,
BOLD:AAK1654,2,,,
BOLD:AAK1700,3,,,
BOLD:AAK1709,3,,,
BOLD:AAK1722,1,,,
BOLD:AAK3035,8,,,
BOLD:AAK9737,10,,,
BOLD:AAK9744,1,,,
BOLD:AAL1022,3,,,
BOLD:AAL2277,1,,,
BOLD:AAL2325,1,,,
BOLD:AAL3681,3,,,
BOLD:AAL3684,1,,,
BOLD:AAM1075,4,,,
BOLD:AAM1109,1,,,
BOLD:AAM5088,78,,,
BOLD:AAM5150,17,,,
BOLD:AAM5224,3,,,
BOLD:AAM5230,16,,,
BOLD:AAM5231,1,,,
BOLD:AAM5381,3,,,
BOLD:AAM5736,2,,,
BOLD:AAM5741,1,,,
BOLD:AAM5746,2,,,
BOLD:AAM5747,1,,,
BOLD:AAM5748,1,,,
BOLD:AAM5749,1,,,
BOLD:AAM5751,2,,,
BOLD:AAM5842,14,,,
BOLD:AAM5846,1,,,
BOLD:AAM5847,64,,,
BOLD:AAM5853,5,,,
BOLD:AAM5983,5,,,
BOLD:AAM6962,1,,,
BOLD:AAN1872,1,,,
BOLD:AAN2537,1,,,
BOLD:AAN2539,1,,,
BOLD:AAN7915,168,,,
BOLD:AAN7935,6,,,
BOLD:AAN8087,109,,,
BOLD:AAT8855,15,,,
BOLD:AAV2052,4,,,
BOLD:AAV2062,1,,,
BOLD:AAW0422,8,,,
BOLD:AAX2065,2,,,
BOLD:AAX2124,4,,,
BOLD:AAX7726,1,,,
BOLD:AAX8342,1,,,
BOLD:AAX8653,1,,,
BOLD:AAX8739,20,,,
BOLD:AAY0742,1,,,
BOLD:AAY0743,2,,,
BOLD:AAY0767,2,,,
BOLD:AAY0770,1,,,
BOLD:AAY0777,1,,,
BOLD:AAY1040,41,,,
BOLD:AAY1042,1,,,
BOLD:AAZ9572,2,,,
BOLD:ABA3469,2,,,
BOLD:ABA7260,1,,,
BOLD:ABA7264,2,,,
BOLD:ABA9261,1,,,
BOLD:ABX5195,5,,,
BOLD:ABX5732,9,,,
BOLD:ABX5812,8,,,
BOLD:ABX5981,3,,,
BOLD:ABX6267,5,,,
BOLD:ABX6466,10,,,
BOLD:ABX6541,8,,,
BOLD:ABX6745,1,,,
BOLD:ABX9145,6,,,
