BOLD code,Frequency,,,
BOLD:AAA1223,692,,,
BOLD:AAA1265,423,,,
BOLD:AAA1634,5,,,
BOLD:AAA2445,179,,,
BOLD:AAA2794,229,,,
BOLD:AAA2816,163,,,
BOLD:AAA2958,193,,,
BOLD:AAA3077,197,,,
BOLD:AAA3229,1,,,
BOLD:AAA3684,2,,,
BOLD:AAA3934,218,,,
BOLD:AAA4243,89,,,
BOLD:AAA4554,139,,,
BOLD:AAA4564,80,,,
BOLD:AAA4565,9,,,
BOLD:AAA4794,1,,,
BOLD:AAA4871,3,,,
BOLD:AAA6269,151,,,
BOLD:AAA6667,39,,,
BOLD:AAA6668,67,,,
BOLD:AAA6775,2,,,
BOLD:AAA7143,29,,,
BOLD:AAA7170,5,,,
BOLD:AAA7171,51,,,
BOLD:AAA7181,2,,,
BOLD:AAA7259,2,,,
BOLD:AAA7376,3,,,
BOLD:AAA8037,5,,,
BOLD:AAA8869,38,,,
BOLD:AAA9150,1,,,
BOLD:AAA9309,46,,,
BOLD:AAA9772,1,,,
BOLD:AAB0594,109,,,
BOLD:AAB0787,1,,,
BOLD:AAB2334,27,,,
BOLD:AAB2436,33,,,
BOLD:AAB2471,88,,,
BOLD:AAB2826,24,,,
BOLD:AAB2976,1,,,
BOLD:AAB4574,2,,,
BOLD:AAB4946,3,,,
BOLD:AAB5549,91,,,
BOLD:AAB6336,30,,,
BOLD:AAB6927,35,,,
BOLD:AAB7535,3,,,
BOLD:AAB7568,18,,,
BOLD:AAB7636,34,,,
BOLD:AAB8584,2,,,
BOLD:AAB8634,2,,,
BOLD:AAB9141,4,,,
BOLD:AAB9372,43,,,
BOLD:AAB9519,1,,,
BOLD:AAB9613,59,,,
BOLD:AAB9626,1,,,
BOLD:AAB9659,16,,,
BOLD:AAB9863,20,,,
BOLD:AAC0471,8,,,
BOLD:AAC0735,30,,,
BOLD:AAC1160,23,,,
BOLD:AAC1179,9,,,
BOLD:AAC1190,2,,,
BOLD:AAC1260,3,,,
BOLD:AAC1266,22,,,
BOLD:AAC2117,57,,,
BOLD:AAC2295,16,,,
BOLD:AAC3394,1,,,
BOLD:AAC5219,2,,,
BOLD:AAC5317,10,,,
BOLD:AAC5318,3,,,
BOLD:AAC5949,18,,,
BOLD:AAC6114,12,,,
BOLD:AAC6165,10,,,
BOLD:AAC6257,33,,,
BOLD:AAC6262,30,,,
BOLD:AAC6897,3,,,
BOLD:AAC7481,10,,,
BOLD:AAC8392,34,,,
BOLD:AAC8420,6,,,
BOLD:AAC8957,9,,,
BOLD:AAC9678,2,,,
BOLD:AAC9679,10,,,
BOLD:AAC9684,11,,,
BOLD:AAD0025,42,,,
BOLD:AAD1281,1,,,
BOLD:AAD1413,2,,,
BOLD:AAD1415,1,,,
BOLD:AAD1416,7,,,
BOLD:AAD1614,1,,,
BOLD:AAD1798,11,,,
BOLD:AAD1799,17,,,
BOLD:AAD1805,11,,,
BOLD:AAD1809,8,,,
BOLD:AAD2236,26,,,
BOLD:AAD2307,8,,,
BOLD:AAD3521,7,,,
BOLD:AAD3623,8,,,
BOLD:AAD3624,6,,,
BOLD:AAD3978,1,,,
BOLD:AAD4440,12,,,
BOLD:AAD4646,8,,,
BOLD:AAD5258,8,,,
BOLD:AAD5960,1,,,
BOLD:AAD6534,6,,,
BOLD:AAD6535,8,,,
BOLD:AAD6608,1,,,
BOLD:AAD6849,3,,,
BOLD:AAD6850,6,,,
BOLD:AAD6863,1,,,
BOLD:AAD6988,10,,,
BOLD:AAD7186,3,,,
BOLD:AAD8952,3,,,
BOLD:AAD9471,15,,,
BOLD:AAD9684,5,,,
BOLD:AAD9699,6,,,
BOLD:AAD9730,18,,,
BOLD:AAD9731,2,,,
BOLD:AAD9754,48,,,
BOLD:AAD9762,1,,,
BOLD:AAE0704,6,,,
BOLD:AAE0922,92,,,
BOLD:AAE0967,9,,,
BOLD:AAE1349,9,,,
BOLD:AAE1352,3,,,
BOLD:AAE1584,18,,,
BOLD:AAE2270,4,,,
BOLD:AAE2842,6,,,
BOLD:AAE2980,8,,,
BOLD:AAE3568,5,,,
BOLD:AAE3605,3,,,
BOLD:AAE5860,1,,,
BOLD:AAE6754,1,,,
BOLD:AAE6770,4,,,
BOLD:AAE6771,7,,,
BOLD:AAE6776,7,,,
BOLD:AAE6814,8,,,
BOLD:AAE6855,11,,,
BOLD:AAE6857,5,,,
BOLD:AAE7075,4,,,
BOLD:AAE7080,19,,,
BOLD:AAE7160,5,,,
BOLD:AAE7164,1,,,
BOLD:AAE8274,6,,,
BOLD:AAE8275,1,,,
BOLD:AAE8276,2,,,
BOLD:AAE8429,3,,,
BOLD:AAE8596,23,,,
BOLD:AAE8602,5,,,
BOLD:AAE8607,1,,,
BOLD:AAE8609,1,,,
BOLD:AAE9335,1,,,
BOLD:AAE9345,3,,,
BOLD:AAE9935,4,,,
BOLD:AAE9955,2,,,
BOLD:AAE9956,2,,,
BOLD:AAF4770,3,,,
BOLD:AAF4784,1,,,
BOLD:AAF5364,1,,,
BOLD:AAF5702,3,,,
BOLD:AAF5711,3,,,
BOLD:AAF5712,6,,,
BOLD:AAF6051,3,,,
BOLD:AAF6107,4,,,
BOLD:AAF6682,1,,,
BOLD:AAF6982,4,,,
BOLD:AAF7659,2,,,
BOLD:AAF7670,9,,,
BOLD:AAF7717,3,,,
BOLD:AAF7727,3,,,
BOLD:AAF8059,1,,,
BOLD:AAF8060,1,,,
BOLD:AAF8074,2,,,
BOLD:AAF8130,3,,,
BOLD:AAF8182,2,,,
BOLD:AAF8233,5,,,
BOLD:AAF8296,20,,,
BOLD:AAF8299,1,,,
BOLD:AAF8310,1,,,
BOLD:AAF8353,2,,,
BOLD:AAF8475,4,,,
BOLD:AAF8487,3,,,
BOLD:AAH2836,7,,,
BOLD:AAH2837,2,,,
BOLD:AAH7528,2,,,
BOLD:AAH8194,3,,,
BOLD:AAH9186,2,,,
BOLD:AAI6306,3,,,
BOLD:AAI6323,4,,,
BOLD:AAI7270,1,,,
BOLD:AAI7272,3,,,
BOLD:AAI7279,2,,,
BOLD:AAI7282,2,,,
BOLD:AAI7284,2,,,
BOLD:AAI7285,17,,,
BOLD:AAI7287,2,,,
BOLD:AAI7289,6,,,
BOLD:AAI7299,1,,,
BOLD:AAI7301,3,,,
BOLD:AAI7311,1,,,
BOLD:AAI7343,14,,,
BOLD:AAI7790,2,,,
