BOLD code,Frequency,,,
BOLD:AAA1266,2,,,
BOLD:AAA1634,302,,,
BOLD:AAA2143,224,,,
BOLD:AAA2511,160,,,
BOLD:AAA2668,201,,,
BOLD:AAA3229,227,,,
BOLD:AAA3684,156,,,
BOLD:AAA4781,1,,,
BOLD:AAA4794,28,,,
BOLD:AAA4871,41,,,
BOLD:AAA5341,8,,,
BOLD:AAA6181,161,,,
BOLD:AAA6559,3,,,
BOLD:AAA6775,100,,,
BOLD:AAA7014,173,,,
BOLD:AAA7066,17,,,
BOLD:AAA7129,70,,,
BOLD:AAA7143,568,,,
BOLD:AAA7181,54,,,
BOLD:AAA7225,69,,,
BOLD:AAA7259,121,,,
BOLD:AAA7376,252,,,
BOLD:AAA8037,104,,,
BOLD:AAA8844,85,,,
BOLD:AAA9150,113,,,
BOLD:AAA9772,53,,,
BOLD:AAB0787,78,,,
BOLD:AAB1086,54,,,
BOLD:AAB1486,107,,,
BOLD:AAB2228,35,,,
BOLD:AAB2471,13,,,
BOLD:AAB2664,43,,,
BOLD:AAB2826,16,,,
BOLD:AAB2902,37,,,
BOLD:AAB2976,45,,,
BOLD:AAB3512,8,,,
BOLD:AAB3964,58,,,
BOLD:AAB4029,25,,,
BOLD:AAB4123,20,,,
BOLD:AAB4124,19,,,
BOLD:AAB4227,26,,,
BOLD:AAB4485,34,,,
BOLD:AAB4524,41,,,
BOLD:AAB4574,36,,,
BOLD:AAB4946,30,,,
BOLD:AAB5598,25,,,
BOLD:AAB5701,36,,,
BOLD:AAB6131,44,,,
BOLD:AAB6336,39,,,
BOLD:AAB6733,66,,,
BOLD:AAB6929,10,,,
BOLD:AAB7535,27,,,
BOLD:AAB7636,9,,,
BOLD:AAB7638,38,,,
BOLD:AAB7711,18,,,
BOLD:AAB8584,154,,,
BOLD:AAB8634,22,,,
BOLD:AAB9141,22,,,
BOLD:AAB9403,30,,,
BOLD:AAB9519,19,,,
BOLD:AAB9626,23,,,
BOLD:AAB9648,16,,,
BOLD:AAB9792,46,,,
BOLD:AAB9928,27,,,
BOLD:AAC0127,27,,,
BOLD:AAC0471,58,,,
BOLD:AAC1002,18,,,
BOLD:AAC1151,29,,,
BOLD:AAC1160,1,,,
BOLD:AAC1179,8,,,
BOLD:AAC1190,28,,,
BOLD:AAC1260,20,,,
BOLD:AAC1914,42,,,
BOLD:AAC2073,22,,,
BOLD:AAC2164,64,,,
BOLD:AAC2174,41,,,
BOLD:AAC2295,36,,,
BOLD:AAC3187,62,,,
BOLD:AAC3394,17,,,
BOLD:AAC3768,20,,,
BOLD:AAC4703,16,,,
BOLD:AAC5219,21,,,
BOLD:AAC5949,3,,,
BOLD:AAC6257,2,,,
BOLD:AAC6258,1,,,
BOLD:AAC6259,27,,,
BOLD:AAC6349,1,,,
BOLD:AAC6897,41,,,
BOLD:AAC7297,1,,,
BOLD:AAC7359,23,,,
BOLD:AAC7364,9,,,
BOLD:AAC7396,45,,,
BOLD:AAC7482,1,,,
BOLD:AAC7569,13,,,
BOLD:AAC7653,10,,,
BOLD:AAC7864,21,,,
BOLD:AAC7955,17,,,
BOLD:AAC8285,18,,,
BOLD:AAC8403,9,,,
BOLD:AAC8420,40,,,
BOLD:AAC9585,26,,,
BOLD:AAC9684,1,,,
BOLD:AAD0025,1,,,
BOLD:AAD0207,21,,,
BOLD:AAD1413,14,,,
BOLD:AAD1415,17,,,
BOLD:AAD1416,21,,,
BOLD:AAD1614,14,,,
BOLD:AAD1799,12,,,
BOLD:AAD2262,15,,,
BOLD:AAD2307,2,,,
BOLD:AAD2320,28,,,
BOLD:AAD2331,8,,,
BOLD:AAD2341,14,,,
BOLD:AAD2561,15,,,
BOLD:AAD2660,7,,,
BOLD:AAD3978,8,,,
BOLD:AAD4285,7,,,
BOLD:AAD4555,28,,,
BOLD:AAD4646,2,,,
BOLD:AAD5514,2,,,
BOLD:AAD5542,14,,,
BOLD:AAD5960,9,,,
BOLD:AAD5984,33,,,
BOLD:AAD6429,8,,,
BOLD:AAD6505,37,,,
BOLD:AAD6522,7,,,
BOLD:AAD6608,18,,,
BOLD:AAD6737,10,,,
BOLD:AAD6751,49,,,
BOLD:AAD6862,23,,,
BOLD:AAD6863,2,,,
BOLD:AAD7175,8,,,
BOLD:AAD7808,9,,,
BOLD:AAD7810,8,,,
BOLD:AAD7942,20,,,
BOLD:AAD8952,61,,,
BOLD:AAD9571,8,,,
