,,,,Type,Trap,Latitude,Longitude,Elevation,2008-2009,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,# full years barcoded,"# partial years barcoded (if sorted all received, but received <50samples, considered partial)",,
ICE,,ACG,dry-rain intersection,Peripheral,PL12_1,10.76417,-85.33498,828,,7,52,52,52,52,52,52,51,51,52,52,5,,7,,,LEGEND
ICE,,ACG,dry-rain intersection,Peripheral,PL12_2,10.76336,-85.33472,824,,7,52,50,52,52,52,52,51,51,52,52,5,,7,,,all metabarcoded
ICE,,ACG,dry-rain intersection,Peripheral,PL12_3,10.76311,-85.33443,820,,,52,52,51,51,52,52,51,51,52,52,5,,7,,,every 4th week
ICE,,ACG,dry-rain intersection,Peripheral,PL12_4,10.76293,-85.33407,825,,,52,52,52,52,52,52,51,51,52,52,5,,7,,,every other week
ICE,,ACG,dry-rain intersection,Peripheral,PL12_5,10.76316,-85.33378,831,,7,52,52,52,52,52,52,51,51,52,52,5,,7,,,all processed
ICE,,ACG,dry-rain intersection,Peripheral,PL12_6,10.76368,-85.3331,853,,7,52,52,52,52,52,52,51,51,52,52,5,,7,,,Sharkey Hyms processed
ICE,,ACG,dry-rain intersection,Peripheral,PL12_7,10.76118,-85.33531,791,,3,52,52,52,52,52,52,51,51,52,52,5,,7,,,
ICE,,ACG,dry-rain intersection,Peripheral,PL12_8,10.76059,-85.33501,811,,,51,52,52,52,52,52,51,51,52,52,5,,7,,,
ICE,,ACG,dry-rain intersection,Peripheral,PL12_9,10.75999,-85.33412,809,,3,52,8,52,52,52,52,51,51,52,52,5,,6,1,,
santa maria 1,,ACG,rain-cloud intersection,Peripheral,SSM1,10.80396,-85.32524,1615,,,,,,,,52,52,50,52,52,18,,1,,,
santa maria 2,,ACG,rain-cloud intersection,Peripheral,SSM2,10.8038,-85.32611,1595,,,,,,,,52,52,51,52,52,18,,1,,,
santa maria 3,,ACG,rain-cloud intersection,Peripheral,SSM3,10.79698,-85.32745,1395,,,,,,,,52,52,52,52,52,18,,2,,,
santa maria 4,,ACG,rain-cloud intersection,Peripheral,SSM4,10.78283,-85.32497,1122,,,,,,,,52,52,52,52,52,18,,2,,,
S MUNDO NUEVO,,ACG,dry forest,Peripheral,SMNR1,10.7577778,-85.3753889,562,,,,,,,52,52,52,52,8,,,,,1,,
S MUNDO NUEVO,,ACG,dry forest,Peripheral,SMNR2,10.7581944,-85.3753611,562,,,,,,,52,52,52,52,8,,,,,1,,
S MUNDO NUEVO,,ACG,dry forest,Peripheral,SMNR3,10.7584444,-85.3751944,562,,,,,,,52,52,52,52,8,,,,,1,,
S MUNDO NUEVO,,ACG,dry forest,Peripheral,SMNR4,10.7618333,-85.3921944,520,,,,,,,52,52,52,52,8,,,,,1,,
S MUNDO NUEVO,,ACG,dry forest,Peripheral,SMNR5,10.7623333,-85.3921111,521,,,,,,,52,52,51,52,8,,,,,1,,
S MUNDO NUEVO,,ACG,dry forest,Peripheral,SMNR6,10.7626944,-85.3920278,524,,,,,,,52,52,52,52,8,,,,,1,,
S MUNDO NUEVO,,ACG,dry forest,Peripheral,SMNPL07_7,10.7716944,-85.3615556,694,,,,,,,52,52,52,52,1,,,,,1,,
S MUNDO NUEVO,,ACG,dry forest,Peripheral,SMNPL07_8,10.7714722,-85.3611111,696,,,,,,,52,52,52,52,1,,,,,1,,
S MUNDO NUEVO,,ACG,dry forest,Peripheral,SMNPL07_9,10.7712778,-85.3608333,693,,,,,,,52,51,52,52,1,,,aa,,1,,
S MUNDO NUEVO,,ACG,dry forest,Peripheral,SMNPL07_10,10.7715,-85.3601111,700,,,,,,,52,51,52,52,1,,,,,1,,
S MUNDO NUEVO,,ACG,dry forest,Peripheral,SMNPL07_11,10.7716667,-85.35975,707,,,,,,,52,52,51,52,1,,,,,1,,
S MUNDO NUEVO,,ACG,dry forest,Peripheral,SMNPL07_12,10.7723611,-85.3593333,720,,,,,,,51,52,51,52,1,,,,,1,,
S MUNDO NUEVO,,ACG,dry forest,Peripheral,SMNPL07_13,10.7680833,-85.3593333,675,,,,,,,52,52,52,52,1,,,,,1,,
S MUNDO NUEVO,,ACG,dry forest,Peripheral,SMNPL07_14,10.7681944,-85.3603056,677,,,,,,,52,52,52,52,1,,,,,1,,
S MUNDO NUEVO,,ACG,dry forest,Peripheral,SMNPL07_15,10.76825,-85.3613056,671,,,,,,,52,52,52,52,1,,,,,1,,
deep SHADE,,ACG,rain forest,Peripheral,Arenales,10.92471,-85.46738,1080,52,,,45,35,47,52,53,52,51,52,50,46,24,,2,,
PICO Cacao,,ACG,cloud forest,Peripheral,Cima,10.93328,-85.45729,1460,,,31,35,46,51,48,50,52,51,52,52,52,22,1,,,
pico cacao,,ACG,cloud forest,Peripheral,Cima4,10.93328,-85.45729,1460,51,,,,,,,,,,,,,,,1,,
estacion Cacao,,ACG,cloud forest,Peripheral,Circular,10.92714,-85.46683,1185,52,1,30,41,49,52,51,51,52,51,52,52,47,24,,2,,
gongora,,ACG,dry-rain intersection,Peripheral,Gongora,10.88919,-85.47609,600,,,31,46,32,48,52,53,47,51,52,50,52,25,,1,,
harold,,ACG,dry-rain intersection,Peripheral,Harold,10.90475,-85.46803,820,,1,31,46,27,44,51,52,49,51,52,50,52,25,,1,,
pedregal,,ACG,cloud forest,Peripheral,Pedregal,10.92767,-85.47449,1080,,1,27,42,39,44,43,48,52,50,47,52,41,20,,1,,
San Ger edge,,ACG,rain forest,Peripheral,SGC,10.88023,-85.3889,605,,,,,,,,,52,51,51,52,52,17,,1,,
San Ger SHADE,,ACG,rain forest,Peripheral,SGF,10.87912,-85.38987,650,,,,,,,,,52,52,52,52,52,16,,2,,
 Santa Rosa BSE,,ACG,dry forest,Core,CJAN,10.83687,-85.61931,295,,47,26,52,52,52,52,51,51,51,48,27,,,1,,,
naranjo,,ACG,dry forest,Peripheral,NAR,10.77997,-85.66284,8,,,17,8,12,20,8,34,35,36,44,7,1,,,1,,
"Bosque ""edge""",,ACG,dry forest,Peripheral,BSE,10.8438,-85.6138,300,,52,10,,,,,51,52,52,52,52,9,,2,,,
Estacion SG edge,,ACG,rain forest,Core,ESG,10.88009,-85.38887,575,,12,52,52,51,51,52,36,,,,,,,2,,,
Cacao edge,,ACG,cloud forest,Core,Derrumbe,10.92918,-85.46426,1220,,,,52,50,52,51,51,51,52,50,52,43,,2,1,,
Altamira edge,,NOT,cloud forest,Peripheral,ALTM1,9.01485,-83.00373,1366,,,,,,,,,52,52,5,,,,1,1,,
Altamira shade,,NOT,rain forest,Peripheral,ALTM2,9.01585,-83.00401,1458,,,,,,,,,52,52,5,,,,1,1,,
INBIO PARQUE EDGE,,NOT,dry-rain intersection,Peripheral,PESINAC1,9.9731,-84.09352,1128,,,,,,,,,51,51,52,28,,,1,,,
INBIO PARQU SHADE,,NOT,dry-rain intersection,Peripheral,PESINAC2,9.9736,-84.09275,1131,,,,,,,,,51,52,52,28,,,,1,,
Ceibo edge,,NOT,rain forest,Peripheral,Ceibo1,10.326972,-84.079212,600,,,,,,,,,52,52,14,,,,1,1,,
Ceibo shade,,NOT,rain forest,Peripheral,Ceibo2,10.327221,-84.079717,600,,,,,,,,,52,52,14,,,,1,1,,
CDLM EDGE,,NOT,cloud forest,Peripheral,Quetzales1,9.614443,-83.818587,3000,,,,,,,,,38,52,,,,,1,1,,
CRDLM SHADE,,NOT,cloud forest,Peripheral,Quetzales2,9.614051,-83.818458,3000,,,,,,,,,38,52,,,,,1,1,,
CORCO EDGE,,NOT,rain forest,Peripheral,Sirena1,8.477797,-83.593101,30,,,,,,,,,49,37,,,,,1,1,,
CORCO SHADE,,NOT,rain forest,Peripheral,Sirena2,8.483146,-83.590828,55,,,,,,,,,49,35,,,,,2,,,
Isla Coco SHADE,,NOT,island rain forest,Peripheral,ICOCO1,5.53333,-87.0833,60,,,,,,,,,51,52,1,,,,,,,
isLa Coco EDGE,,NOT,island rain forest,Peripheral,ICOCO2,5.534128,-87.084288,5,,,,,,,,,51,52,1,,,,1,,,
Hitoy Edge,,NOT,rain forest,Peripheral,Hitoy1,9.648249,-83.070822,181,,,,,,,,,35,,,,,,1,,,
Hitoy Shade,,NOT,rain forest,Peripheral,Hitoy2,9.648693,-83.070629,186,,,,,,,,,32,,,,,,1,,,
Tortug edge,,NOT,rain forest,Peripheral,TORTUG1,10.53741,-83.503814,13,,,,,,,,,52,45,10,,,,1,1,,
