CBG Site Code,lat,lon,altitude,Category,BIN #
CRI|NO02_527|BSE,10.8438,-85.6138,300,Core,94
CRI|NO01_506|Derrumbe,10.92918,-85.46426,1220,Core,61
CRI|NO01_470|ESG,10.88009,-85.38887,575,Core,43
CRI|NO01_458|PL12_1,10.76417,-85.33498,828,Core,36
CRI|NO01_458|PL12_2,10.76336,-85.33472,824,Core,23
CRI|NO01_458|PL12_3,10.76311,-85.33443,820,Core,147
CRI|NO01_458|PL12_4,10.76293,-85.33407,825,Core,49
CRI|NO01_458|PL12_5,10.76316,-85.33378,831,Core,143
CRI|NO01_458|PL12_6,10.76368,-85.3331,853,Core,46
CRI|NO01_458|PL12_7,10.76118,-85.33531,791,Core,35
CRI|NO01_458|PL12_8,10.76059,-85.33501,811,Core,33
CRI|NO01_458|PL12_9,10.75999,-85.33412,809,Core,58
CRI|NO01_506|Arenales,10.92471,-85.46738,1080,Peripherie,17
CRI|NO01_470|BT01,10.90037,-85.37254,500,Peripherie,31
CRI|NO01_506|Cima,10.93328,-85.45729,1460,Peripherie,32
CRI|NO02_527|CJAN,10.83687,-85.61931,295,Peripherie,6
CRI|NO01_458|Gongora,10.88919,-85.47609,600,Peripherie,30
CRI|NO01_506|Harold,10.90475,-85.46803,820,Peripherie,17
CRI|NO01_470|LDR1,10.8930856,-85.3794057,545,Peripherie,118
CRI|NO02_527|LuzSol,10.83764,-85.61871,295,Peripherie,23
CRI|NO02_527|MBT1,10.55173,-85.42575,2,Peripherie,9
CRI|NO02_527|NAR,10.77997,-85.66284,8,Peripherie,5
CRI|NO01_506|Pedregal,10.92767,-85.47449,1080,Peripherie,34
CRI|NO01_470|SGC,10.88023,-85.3889,605,Peripherie,33
CRI|NO01_458|MNPL7_10,10.7715,-85.3601111,700,Peripherie,54
CRI|NO01_458|SMNR1,10.7577778,-85.3753889,562,Peripherie,2
CRI|NO01_506|SSM1,10.80396,-85.32524,1615,Peripherie,4
