,uri,lat,lon,code
1,BOLD:ABX6328,9.549,-83.985,BLPAA
2,BOLD:AAI7341,9.863467,-84.146736,ACGBA
3,BOLD:ABY8442,10.7087,-85.6287,ASMGJ
4,BOLD:AAA7014,10.7275,-85.41212,ACGBA
5,BOLD:AAK2134,10.73148,-85.33675,ACGBA
6,BOLD:AAE8429,10.7416,-85.42734,ACGBA
7,BOLD:AAY0742,10.7477,-85.5858,ASMG
8,BOLD:ABX6007,10.7553,-85.3912,ACGBA
9,BOLD:ABX6007,10.7572,-85.5535,ASMGJ
10,BOLD:AAK2134,10.75722,-85.33582,ACGBA
11,BOLD:ABX6007,10.75725,-85.55354,ASMGJ
12,BOLD:ACF0511,10.7586,-85.3727,ASMGJ
13,BOLD:ACF0511,10.75864,-85.37269,ASMGJ
14,BOLD:AAA8844,10.75876,-85.37543,ACGAZ
15,BOLD:ABX5732,10.7588,-85.3754,ASMGJ
16,BOLD:AAC1151,10.75894,-85.30271,ACGBA
17,BOLD:AAE8607,10.7599,-85.2874,ASHYB
18,BOLD:AEK5130,10.75992,-85.28753,ACGBA
19,BOLD:AAC2295,10.7606,-85.4028,ASMGJ
20,BOLD:AAA1634,10.7611,-85.4022,ASHYA
21,BOLD:AAA3229,10.7621,-85.3239,ASHYH
22,BOLD:AAA2143,10.7623,-85.4,ASMGJ
23,BOLD:AAD9762,10.76248,-85.33689,ACGBA
24,BOLD:AAD1614,10.7625,-85.3369,ACGBA
25,BOLD:AAB3512,10.7626,-85.4298,ACGAZ
26,BOLD:ACE8845,10.76261,-85.42979,ACGBA
27,BOLD:AAB2228,10.7627,-85.56,ASMG
28,BOLD:ABX5812,10.76307,-85.41332,ACGBA
29,BOLD:AAB3512,10.7631,-85.4133,ACGAZ
30,BOLD:ABX5732,10.7639,-85.3784,ACGBA
31,BOLD:AAA7143,10.76414,-85.30427,ACGBA
32,BOLD:AAB4524,10.76433,-85.30446,ACGBA
33,BOLD:AAB4574,10.7645,-85.3116,ASBR
34,BOLD:ABX6006,10.7648,-85.3845,ACGAZ
