"","sampleid","processid","fieldid","phylum","class","order","family","subfamily","genus","species","uri","extrainfo","lat","long","collectiondate","fk_marker","nucraw_length","code"
"1","BIOUG18860-F03.NTS","CONTB117-15","GMP#00614","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles eduardoramirezi","BOLD:AAA4554","BSE Malaise Trap",10.8438,-85.6138,"2012-05-29","1",588,"CONTB"
"2","CCDB-46554-A01","CRMSA1046-23","GMP#42929","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi106","BOLD:AAA1265","ESG",NA,NA,"","1",653,"CRMSA"
"3","CCDB-46554-A10","CRMSA1055-23","GMP#42930","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Pseudapanteles","Pseudapanteles margaritapenonae","BOLD:AAA2445","ESG",NA,NA,"","1",653,"CRMSA"
"4","CCDB-46555-F12","CRMSA1212-23","GMP#42938","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Papanteles","Papanteles Whitfield04","BOLD:AAB6336","ESG",NA,NA,"","1",653,"CRMSA"
"5","CCDB-46555-G01","CRMSA1213-23","GMP#42938","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles stephaniecluttsae","BOLD:AAL3684","ESG",NA,NA,"","1",653,"CRMSA"
"6","CCDB-46555-H04","CRMSA1228-23","GMP#42931","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi106","BOLD:AAA1265","ESG",NA,NA,"","1",653,"CRMSA"
"7","CCDB-46556-E05","CRMSA1241-23","GMP#45336","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Alphomelon","Alphomelon xestopyga","BOLD:AAE5701","Malaise trap BSE",10.8438,-85.6138,"","1",653,"CRMSA"
"8","CCDB-38206-A07","CRMSA1290-24","GMP#45335","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles sondrawardae","BOLD:AAA3077","Malaise trap BSE",10.8438,-85.6138,"","1",658,"CRMSA"
"9","CCDB-38206-C02","CRMSA1309-24","GMP#45365","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","","","BOLD:ACL4489","Malaise trap BSE",10.8438,-85.6138,"","1",658,"CRMSA"
"10","CCDB-38206-C12","CRMSA1319-24","GMP#42941","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","","","BOLD:AAD9754","ESG",10.88009,-85.38887,"","1",658,"CRMSA"
"11","BIOUG80544-A04","CRSIA34675-22","GMP#23135","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Hypomicrogaster","Hypomicrogaster Malaise6626","BOLD:ABY6626","Malaise trap PL12-4F",10.763,-85.334,"2019-07-04","1",652,"CRSIA"
"12","BIOUG80544-B01","CRSIA34684-22","GMP#23135","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Hypomicrogaster","Hypomicrogaster Malaise5139","BOLD:AES5139","Malaise trap PL12-4F",10.763,-85.334,"2019-07-04","1",653,"CRSIA"
"13","BIOUG80544-C07","CRSIA34702-22","GMP#23135","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","microMalaise01","microMalaise01 Malaise2421","BOLD:AES2421","Malaise trap PL12-4F",10.763,-85.334,"2019-07-04","1",656,"CRSIA"
"14","BIOUG80544-C11","CRSIA34706-22","GMP#23135","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles nataliaivanovae","BOLD:AAC5317","Malaise trap PL12-4F",10.763,-85.334,"2019-07-04","1",651,"CRSIA"
"15","BIOUG80544-C12","CRSIA34707-22","GMP#23135","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles petronariosae","BOLD:AET3846","Malaise trap PL12-4F",10.763,-85.334,"2019-07-04","1",652,"CRSIA"
"16","BIOUG80544-E05","CRSIA34724-22","GMP#23135","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","microMalaise01","microMalaise01 Malaise0043","BOLD:AEU0043","Malaise trap PL12-4F",10.763,-85.334,"2019-07-04","1",651,"CRSIA"
"17","BIOUG80544-E09","CRSIA34728-22","GMP#23135","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Hypomicrogaster","Hypomicrogaster Malaise9119","BOLD:AEO9119","Malaise trap PL12-4F",10.763,-85.334,"2019-07-04","1",651,"CRSIA"
"18","BIOUG25662-C04","GMAAA118-15","GMP#05869","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles sureshnaiki","BOLD:AAA6269","ESG Malaise Trap",10.88,-85.389,"2014-08-11","1",614,"GMAAA"
"19","BIOUG27681-B02","GMAAB171-16","GMP#05820","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi107","BOLD:AAA1223","ESG Malaise Trap",10.8801,-85.389,"2013-09-02","1",600,"GMAAB"
"20","BIOUG27681-B04","GMAAB173-16","GMP#05820","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi106","BOLD:AAA1265","ESG Malaise Trap",10.8801,-85.389,"2013-09-02","1",576,"GMAAB"
"21","BIOUG27681-B11","GMAAB180-16","GMP#05820","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi107","BOLD:AAA1223","ESG Malaise Trap",10.8801,-85.389,"2013-09-02","1",585,"GMAAB"
"22","BIOUG27681-C02","GMAAB183-16","GMP#05820","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi106","BOLD:AAA1265","ESG Malaise Trap",10.8801,-85.389,"2013-09-02","1",585,"GMAAB"
"23","BIOUG27682-C03","GMAAB262-16","GMP#05820","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles scottshawi","BOLD:AAA2958","ESG Malaise Trap",10.8801,-85.389,"2013-09-02","1",594,"GMAAB"
"24","BIOUG27682-D05","GMAAB276-16","GMP#05820","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles Whitfield155","BOLD:AAB2471","ESG Malaise Trap",10.8801,-85.389,"2013-09-02","1",594,"GMAAB"
"25","BIOUG27682-D06","GMAAB277-16","GMP#05820","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles sondrawardae","BOLD:AAA3077","ESG Malaise Trap",10.8801,-85.389,"2013-09-02","1",594,"GMAAB"
"26","BIOUG27682-F01","GMAAB296-16","GMP#05820","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles sondrawardae","BOLD:AAA3077","ESG Malaise Trap",10.8801,-85.389,"2013-09-02","1",579,"GMAAB"
"27","BIOUG27682-F08","GMAAB303-16","GMP#05820","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles sondrawardae","BOLD:AAA3077","ESG Malaise Trap",10.8801,-85.389,"2013-09-02","1",480,"GMAAB"
"28","BIOUG27682-F10","GMAAB305-16","GMP#05820","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi106","BOLD:AAA1265","ESG Malaise Trap",10.8801,-85.389,"2013-09-02","1",594,"GMAAB"
"29","BIOUG27798-A06","GMAAC1635-16","GMP#05822","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles sureshnaiki","BOLD:AAA6269","ESG Malaise Trap",10.8801,-85.389,"2013-09-16","1",588,"GMAAC"
"30","BIOUG27772-A07","GMAAC164-16","GMP#05822","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi107","BOLD:AAA1223","ESG Malaise Trap",10.8801,-85.389,"2013-09-16","1",585,"GMAAC"
"31","BIOUG27798-C07","GMAAC1660-16","GMP#05822","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Pseudapanteles","Pseudapanteles margaritapenonae","BOLD:AAA2445","ESG Malaise Trap",10.8801,-85.389,"2013-09-16","1",594,"GMAAC"
"32","BIOUG27798-D05","GMAAC1670-16","GMP#05822","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles mikesharkeyi","BOLD:AAA2794","ESG Malaise Trap",10.8801,-85.389,"2013-09-16","1",586,"GMAAC"
"33","BIOUG27798-D12","GMAAC1677-16","GMP#05822","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles mikesharkeyi","BOLD:AAA2794","ESG Malaise Trap",10.8801,-85.389,"2013-09-16","1",577,"GMAAC"
"34","BIOUG27798-E09","GMAAC1686-16","GMP#05822","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles Whitfield118","BOLD:AAD1799","ESG Malaise Trap",10.8801,-85.389,"2013-09-16","1",600,"GMAAC"
"35","BIOUG27798-H05","GMAAC1718-16","GMP#05822","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Pseudapanteles","Pseudapanteles christianafigueresae","BOLD:AAA6668","ESG Malaise Trap",10.8801,-85.389,"2013-09-16","1",585,"GMAAC"
"36","BIOUG27798-H08","GMAAC1721-16","GMP#05822","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles charlesporteri","BOLD:ACE4337","ESG Malaise Trap",10.8801,-85.389,"2013-09-16","1",588,"GMAAC"
"37","BIOUG27799-B01","GMAAC1737-16","GMP#05822","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles carlosguadamuzi","BOLD:ABX5981","ESG Malaise Trap",10.8801,-85.389,"2013-09-16","1",576,"GMAAC"
"38","BIOUG27799-B04","GMAAC1740-16","GMP#05822","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi107","BOLD:AAA1223","ESG Malaise Trap",10.8801,-85.389,"2013-09-16","1",585,"GMAAC"
"39","BIOUG27772-B05","GMAAC174-16","GMP#05822","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi107","BOLD:AAA1223","ESG Malaise Trap",10.8801,-85.389,"2013-09-16","1",588,"GMAAC"
"40","BIOUG27799-B06","GMAAC1742-16","GMP#05822","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles mikesharkeyi","BOLD:AAA2794","ESG Malaise Trap",10.8801,-85.389,"2013-09-16","1",585,"GMAAC"
"41","BIOUG27799-C05","GMAAC1753-16","GMP#05822","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Pseudapanteles","Pseudapanteles christianafigueresae","BOLD:AAA6668","ESG Malaise Trap",10.8801,-85.389,"2013-09-16","1",534,"GMAAC"
"42","BIOUG27772-B07","GMAAC176-16","GMP#05822","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi107","BOLD:AAA1223","ESG Malaise Trap",10.8801,-85.389,"2013-09-16","1",585,"GMAAC"
"43","BIOUG27772-B08","GMAAC177-16","GMP#05822","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi107","BOLD:AAA1223","ESG Malaise Trap",10.8801,-85.389,"2013-09-16","1",588,"GMAAC"
"44","BIOUG27772-B09","GMAAC178-16","GMP#05822","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi107","BOLD:AAA1223","ESG Malaise Trap",10.8801,-85.389,"2013-09-16","1",594,"GMAAC"
"45","BIOUG27772-B11","GMAAC180-16","GMP#05822","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi107","BOLD:AAA1223","ESG Malaise Trap",10.8801,-85.389,"2013-09-16","1",522,"GMAAC"
"46","BIOUG27772-E05","GMAAD051-16","GMP#05824","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles luisgaritai","BOLD:AAF8074","ESG Malaise Trap",10.88,-85.389,"2013-09-30","1",588,"GMAAD"
"47","BIOUG27772-E11","GMAAD057-16","GMP#05824","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi106","BOLD:AAA1265","ESG Malaise Trap",10.88,-85.389,"2013-09-30","1",588,"GMAAD"
"48","BIOUG27863-G08","GMAAD1001-16","GMP#05824","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles Whitfield141","BOLD:AAA2816","ESG Malaise Trap",10.88,-85.389,"2013-09-30","1",522,"GMAAD"
"49","BIOUG27863-H01","GMAAD1006-16","GMP#05824","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles Whitfield142","BOLD:AAD4440","ESG Malaise Trap",10.88,-85.389,"2013-09-30","1",522,"GMAAD"
