"Order","number_bins_order","number_bins_malaise","percentage","Species_Unique_Other_methods"
"Archaeognatha",1,1,1,0
"Blattodea",119,41,0.34453781512605,78
"Coleoptera",1413,551,0.389950460014154,862
"Dermaptera",5,2,0.4,3
"Diptera",3611,1565,0.433397950706176,2046
"Embioptera",1,0,0,1
"Ephemeroptera",2,0,0,2
"Hemiptera",514,193,0.375486381322957,321
"Hymenoptera",834,462,0.553956834532374,372
"Lepidoptera",2733,383,0.140139041346506,2350
"Mantodea",3,1,0.333333333333333,2
"Neuroptera",19,8,0.421052631578947,11
"Odonata",5,1,0.2,4
"Orthoptera",67,32,0.477611940298507,35
"Psocodea",149,72,0.483221476510067,77
"Strepsiptera",2,2,1,0
"Thysanoptera",33,7,0.212121212121212,26
"Trichoptera",44,3,0.0681818181818182,41
"Zoraptera",1,0,0,1
